date,open,high,low,close,volume
2021-04-07,930.0,930.0,930.0,930.0,213.0
2021-04-08,970.0,970.0,970.0,970.0,2.0
2021-04-09,925.0,970.0,925.0,970.0,651.0
2021-04-12,970.0,970.0,970.0,970.0,83.0
2021-04-13,970.0,970.0,970.0,970.0,4.0
2021-04-14,970.0,970.0,970.0,970.0,100.0
2021-04-15,925.0,925.0,925.0,925.0,261.0
2021-04-16,970.0,970.0,970.0,970.0,10.0
2021-04-19,970.0,970.0,900.0,900.0,1010.0
2021-04-20,950.0,950.0,950.0,950.0,300.0
2021-04-21,965.0,970.0,965.0,970.0,1848.0
2021-04-22,905.0,905.0,905.0,905.0,1590.0
2021-04-23,950.0,950.0,950.0,950.0,143.0
2021-04-26,980.0,980.0,980.0,980.0,22.0
2021-04-27,975.0,975.0,910.0,910.0,660.0
2021-04-28,950.0,950.0,910.0,910.0,162.0
2021-04-29,960.0,960.0,960.0,960.0,41.0
2021-04-30,975.0,975.0,960.0,960.0,55.0
2021-05-03,975.0,1025.0,975.0,1025.0,315.0
2021-05-04,1025.0,1025.0,950.0,950.0,1619.0
2021-05-05,1000.0,1000.0,1000.0,1000.0,188.0
2021-05-06,960.0,1000.0,960.0,1000.0,235.0
2021-05-07,955.0,955.0,955.0,955.0,580.0
2021-05-10,890.0,940.0,890.0,940.0,4069.0
2021-05-11,950.0,955.0,950.0,955.0,65.0
2021-05-12,950.0,955.0,950.0,955.0,65.0
2021-05-14,955.0,955.0,955.0,955.0,119.0
2021-05-17,955.0,1000.0,955.0,1000.0,559.0
2021-05-18,1000.0,1045.0,1000.0,1045.0,436.0
2021-05-19,1045.0,1045.0,1045.0,1045.0,800.0
2021-05-20,1045.0,1045.0,1045.0,1045.0,3751.0
2021-05-21,1010.0,1010.0,1005.0,1005.0,592.0
2021-05-24,1010.0,1010.0,1005.0,1005.0,592.0
2021-05-25,1045.0,1045.0,1045.0,1045.0,28.0
2021-05-26,1045.0,1045.0,1045.0,1045.0,320.0
2021-05-27,1045.0,1045.0,1045.0,1045.0,310.0
2021-05-28,1040.0,1040.0,1040.0,1040.0,248.0
2021-05-31,1040.0,1040.0,1040.0,1040.0,107.0
2021-06-01,1005.0,1040.0,1005.0,1040.0,33.0
2021-06-02,1040.0,1045.0,1040.0,1045.0,419.0
2021-06-03,1040.0,1040.0,1000.0,1000.0,307.0
2021-06-04,1040.0,1040.0,1035.0,1035.0,2.0
2021-06-07,1035.0,1035.0,1035.0,1035.0,1383.0
2021-06-08,1040.0,1040.0,1000.0,1000.0,506.0
2021-06-09,1035.0,1035.0,1035.0,1035.0,309.0
2021-06-10,1035.0,1110.0,1035.0,1110.0,5277.0
2021-06-11,1100.0,1180.0,1100.0,1180.0,6102.0
2021-06-14,1180.0,1180.0,1175.0,1175.0,1001.0
2021-06-15,1100.0,1100.0,1095.0,1095.0,1055.0
2021-06-16,1170.0,1170.0,1165.0,1165.0,120.0
2021-06-17,1160.0,1160.0,1080.0,1080.0,50.0
2021-06-18,1155.0,1155.0,1040.0,1040.0,1437.0
2021-06-21,1040.0,1040.0,1040.0,1040.0,3004.0
2021-06-22,1040.0,1040.0,1040.0,1040.0,19.0
2021-06-23,1040.0,1045.0,1040.0,1045.0,175.0
2021-06-24,1045.0,1050.0,1045.0,1050.0,986.0
2021-06-25,1050.0,1050.0,1050.0,1050.0,11651.0
2021-06-28,1050.0,1050.0,1050.0,1050.0,2195.0
2021-06-29,1050.0,1070.0,1050.0,1070.0,638.0
2021-06-30,1050.0,1070.0,1050.0,1070.0,1049.0
2021-07-01,1070.0,1070.0,1070.0,1070.0,56.0
2021-07-02,1060.0,1065.0,1060.0,1065.0,310.0
2021-07-05,1070.0,1070.0,1065.0,1065.0,260.0
2021-07-06,1045.0,1045.0,1045.0,1045.0,280.0
2021-07-07,1045.0,1045.0,1035.0,1035.0,2332.0
2021-07-08,1045.0,1045.0,1045.0,1045.0,425.0
2021-07-09,1045.0,1045.0,1035.0,1035.0,85.0
2021-07-12,1065.0,1065.0,1065.0,1065.0,108.0
2021-07-13,1065.0,1065.0,1065.0,1065.0,355.0
2021-07-14,1065.0,1065.0,1065.0,1065.0,56.0
2021-07-15,1065.0,1065.0,1060.0,1060.0,2319.0
2021-07-16,1065.0,1070.0,1065.0,1070.0,232.0
2021-07-19,1150.0,1150.0,1150.0,1150.0,25.0
2021-07-20,1150.0,1150.0,1150.0,1150.0,25.0
2021-07-21,1180.0,1180.0,1180.0,1180.0,406.0
2021-07-22,1150.0,1180.0,1150.0,1180.0,278.0
2021-07-23,1175.0,1175.0,1175.0,1175.0,200.0
2021-07-26,1170.0,1175.0,1170.0,1175.0,6298.0
2021-07-27,1250.0,1250.0,1250.0,1250.0,601.0
2021-07-28,1250.0,1255.0,1250.0,1255.0,1499.0
2021-07-29,1260.0,1290.0,1260.0,1290.0,385.0
2021-07-30,1280.0,1290.0,1280.0,1290.0,773.0
2021-08-02,1255.0,1385.0,1255.0,1385.0,5917.0
2021-08-03,1390.0,1390.0,1390.0,1390.0,967.0
2021-08-04,1485.0,1485.0,1405.0,1405.0,1510.0
2021-08-05,1480.0,1500.0,1480.0,1500.0,432.0
2021-08-06,1505.0,1505.0,1500.0,1500.0,2699.0
2021-08-09,1500.0,1500.0,1485.0,1485.0,257.0
2021-08-10,1500.0,1500.0,1480.0,1480.0,330.0
2021-08-11,1475.0,1490.0,1475.0,1490.0,3065.0
2021-08-12,1490.0,1490.0,1450.0,1450.0,1616.0
2021-08-16,1420.0,1420.0,1400.0,1400.0,678.0
2021-08-17,1420.0,1420.0,1400.0,1400.0,625.0
2021-08-18,1400.0,1405.0,1400.0,1405.0,1425.0
2021-08-19,1405.0,1415.0,1405.0,1415.0,410.0
2021-08-20,1415.0,1415.0,1405.0,1405.0,314.0
2021-08-23,1405.0,1410.0,1405.0,1410.0,400.0
2021-08-24,1405.0,1405.0,1405.0,1405.0,307.0
2021-08-25,1400.0,1400.0,1395.0,1395.0,2074.0
2021-08-26,1395.0,1395.0,1370.0,1370.0,267.0
2021-08-27,1370.0,1395.0,1370.0,1395.0,1078.0
2021-08-30,1395.0,1420.0,1395.0,1420.0,1690.0
2021-08-31,1410.0,1410.0,1400.0,1400.0,1258.0
2021-09-01,1400.0,1400.0,1295.0,1295.0,1050.0
2021-09-02,1295.0,1390.0,1295.0,1390.0,2499.0
2021-09-03,1295.0,1400.0,1295.0,1400.0,90.0
2021-09-06,1350.0,1350.0,1350.0,1350.0,360.0
2021-09-07,1310.0,1350.0,1310.0,1350.0,2026.0
2021-09-08,1350.0,1395.0,1350.0,1395.0,83.0
2021-09-09,1395.0,1395.0,1350.0,1350.0,285.0
2021-09-10,1350.0,1350.0,1350.0,1350.0,138.0
2021-09-13,1350.0,1350.0,1350.0,1350.0,40.0
2021-09-14,1350.0,1425.0,1350.0,1425.0,289.0
2021-09-15,1410.0,1445.0,1410.0,1445.0,3492.0
2021-09-16,1425.0,1495.0,1425.0,1495.0,167.0
2021-09-17,1450.0,1450.0,1450.0,1450.0,678.0
2021-09-20,1445.0,1485.0,1445.0,1485.0,747.0
2021-09-21,1490.0,1495.0,1490.0,1495.0,352.0
2021-09-22,1495.0,1550.0,1495.0,1550.0,2064.0
2021-09-23,1550.0,1550.0,1550.0,1550.0,484.0
2021-09-24,1555.0,1650.0,1555.0,1650.0,113.0
2021-09-27,1650.0,1650.0,1650.0,1650.0,278.0
