date,open,high,low,close,volume
2021-04-08,590.0,590.0,585.0,585.0,380.0
2021-04-13,590.0,625.0,590.0,625.0,121.0
2021-04-14,630.0,630.0,630.0,630.0,110.0
2021-04-15,595.0,595.0,595.0,595.0,170.0
2021-04-16,630.0,630.0,630.0,630.0,2.0
2021-04-19,625.0,625.0,585.0,585.0,1603.0
2021-04-20,625.0,625.0,625.0,625.0,100.0
2021-04-21,625.0,670.0,625.0,670.0,100.0
2021-04-23,670.0,670.0,630.0,630.0,1914.0
2021-04-26,585.0,585.0,585.0,585.0,2400.0
2021-04-27,620.0,620.0,620.0,620.0,3.0
2021-04-28,630.0,665.0,630.0,665.0,583.0
2021-04-29,675.0,700.0,675.0,700.0,4172.0
2021-04-30,710.0,730.0,710.0,730.0,392.0
2021-05-03,740.0,740.0,740.0,740.0,479.0
2021-05-04,740.0,740.0,740.0,740.0,110.0
2021-05-05,740.0,750.0,740.0,750.0,1562.0
2021-05-06,750.0,795.0,750.0,795.0,81.0
2021-05-07,850.0,850.0,850.0,850.0,704.0
2021-05-10,900.0,910.0,900.0,910.0,640.0
2021-05-11,905.0,975.0,905.0,975.0,911.0
2021-05-12,905.0,975.0,905.0,975.0,911.0
2021-05-14,980.0,1040.0,980.0,1040.0,1716.0
2021-05-17,975.0,1000.0,975.0,1000.0,6120.0
2021-05-18,975.0,1075.0,975.0,1075.0,425.0
2021-05-19,1150.0,1150.0,1150.0,1150.0,1.0
2021-05-20,1150.0,1200.0,1150.0,1200.0,3605.0
2021-05-21,1200.0,1200.0,1200.0,1200.0,193.0
2021-05-24,1200.0,1200.0,1200.0,1200.0,193.0
2021-05-25,1200.0,1200.0,1190.0,1190.0,64.0
2021-05-26,1190.0,1190.0,1170.0,1170.0,40.0
2021-05-27,1150.0,1150.0,1150.0,1150.0,2519.0
2021-05-28,1150.0,1200.0,1150.0,1200.0,748.0
2021-05-31,1200.0,1200.0,1175.0,1175.0,510.0
2021-06-01,1195.0,1195.0,1195.0,1195.0,1045.0
2021-06-02,1165.0,1200.0,1165.0,1200.0,1664.0
2021-06-03,1250.0,1290.0,1250.0,1290.0,291.0
2021-06-04,1250.0,1250.0,1250.0,1250.0,20.0
2021-06-07,1275.0,1300.0,1275.0,1300.0,2774.0
2021-06-08,1300.0,1320.0,1300.0,1320.0,990.0
2021-06-09,1300.0,1385.0,1300.0,1385.0,119.0
2021-06-10,1385.0,1400.0,1385.0,1400.0,938.0
2021-06-11,1400.0,1500.0,1400.0,1500.0,590.0
2021-06-14,1500.0,1610.0,1500.0,1610.0,847.0
2021-06-15,1610.0,1730.0,1610.0,1730.0,142.0
2021-06-16,1850.0,1855.0,1850.0,1855.0,41.0
2021-06-17,1990.0,1990.0,1985.0,1985.0,574.0
2021-06-18,1845.0,1845.0,1845.0,1845.0,532.0
2021-06-21,1730.0,1730.0,1710.0,1710.0,622.0
2021-06-22,1585.0,1585.0,1585.0,1585.0,220.0
2021-06-23,1500.0,1580.0,1500.0,1580.0,1296.0
2021-06-24,1580.0,1585.0,1580.0,1585.0,794.0
2021-06-25,1600.0,1700.0,1600.0,1700.0,483.0
2021-06-28,1800.0,1800.0,1700.0,1700.0,31.0
2021-06-29,1670.0,1670.0,1670.0,1670.0,12.0
2021-06-30,1670.0,1690.0,1670.0,1690.0,2713.0
2021-07-01,1690.0,1690.0,1680.0,1680.0,95.0
2021-07-02,1675.0,1700.0,1675.0,1700.0,3870.0
2021-07-06,1700.0,1700.0,1700.0,1700.0,83.0
2021-07-07,1705.0,1825.0,1705.0,1825.0,91.0
2021-07-08,1790.0,1880.0,1790.0,1880.0,204.0
2021-07-09,1955.0,1955.0,1855.0,1855.0,4176.0
2021-07-12,1855.0,1990.0,1855.0,1990.0,39.0
2021-07-13,1990.0,1990.0,1985.0,1985.0,526.0
2021-07-14,1855.0,2095.0,1855.0,2095.0,1250.0
2021-07-15,2090.0,2090.0,2000.0,2000.0,607.0
2021-07-16,2000.0,2090.0,2000.0,2090.0,267.0
2021-07-19,2090.0,2090.0,2090.0,2090.0,22.0
2021-07-20,2090.0,2090.0,2090.0,2090.0,22.0
2021-07-21,2000.0,2000.0,2000.0,2000.0,2141.0
2021-07-22,2000.0,2000.0,2000.0,2000.0,14.0
2021-07-26,1900.0,1900.0,1860.0,1860.0,3477.0
2021-07-27,1870.0,1870.0,1800.0,1800.0,693.0
2021-07-28,1935.0,1935.0,1810.0,1810.0,328.0
2021-07-29,1800.0,1820.0,1800.0,1820.0,98.0
2021-07-30,1820.0,1820.0,1700.0,1700.0,7590.0
2021-08-02,1705.0,1705.0,1705.0,1705.0,110.0
2021-08-03,1705.0,1710.0,1705.0,1710.0,261.0
2021-08-04,1710.0,1720.0,1710.0,1720.0,1028.0
2021-08-05,1750.0,1825.0,1750.0,1825.0,56.0
2021-08-06,1890.0,1950.0,1890.0,1950.0,2197.0
2021-08-09,1950.0,1950.0,1850.0,1850.0,1066.0
2021-08-10,1850.0,1850.0,1800.0,1800.0,1929.0
2021-08-11,1915.0,1915.0,1700.0,1700.0,1568.0
2021-08-12,1825.0,1825.0,1600.0,1600.0,1870.0
2021-08-13,1610.0,1610.0,1610.0,1610.0,5.0
2021-08-16,1620.0,1620.0,1620.0,1620.0,50.0
2021-08-17,1620.0,1620.0,1620.0,1620.0,100.0
2021-08-18,1710.0,1740.0,1710.0,1740.0,121.0
2021-08-19,1630.0,1700.0,1630.0,1700.0,3080.0
2021-08-20,1700.0,1725.0,1700.0,1725.0,262.0
2021-08-23,1825.0,1825.0,1725.0,1725.0,30.0
2021-08-24,1725.0,1725.0,1670.0,1670.0,317.0
2021-08-25,1710.0,1795.0,1710.0,1795.0,17.0
2021-08-26,1920.0,1920.0,1920.0,1920.0,32.0
2021-08-27,1900.0,1900.0,1820.0,1820.0,780.0
2021-08-30,1820.0,1820.0,1800.0,1800.0,506.0
2021-08-31,1825.0,1825.0,1825.0,1825.0,1160.0
2021-09-01,1820.0,1825.0,1820.0,1825.0,361.0
