date,open,high,low,close,volume
2021-04-07,1800.0,1825.0,1800.0,1825.0,4296.0
2021-04-08,1845.0,1847.5,1845.0,1847.5,1320.0
2021-04-09,1825.0,1825.0,1825.0,1825.0,240.0
2021-04-12,1825.0,1850.0,1825.0,1850.0,1438.0
2021-04-13,1850.0,1850.0,1850.0,1850.0,6968.0
2021-04-14,1850.0,1987.5,1850.0,1987.5,2138.0
2021-04-15,1850.0,1945.0,1850.0,1945.0,1514.0
2021-04-16,1850.0,1875.0,1850.0,1875.0,124.0
2021-04-19,1850.0,1850.0,1850.0,1850.0,300.0
2021-04-20,1875.0,1920.0,1875.0,1920.0,2310.0
2021-04-21,1850.0,1900.0,1850.0,1900.0,6302.0
2021-04-22,1897.5,1900.0,1897.5,1900.0,518.0
2021-04-23,1895.0,1900.0,1895.0,1900.0,332.0
2021-04-26,1875.0,1875.0,1875.0,1875.0,472.0
2021-04-27,1875.0,1875.0,1875.0,1875.0,1214.0
2021-04-28,1875.0,1875.0,1850.0,1850.0,6482.0
2021-04-29,1850.0,1900.0,1850.0,1900.0,3108.0
2021-04-30,1900.0,1950.0,1900.0,1950.0,5548.0
2021-05-03,1950.0,1950.0,1945.0,1945.0,182.0
2021-05-04,1945.0,1945.0,1920.0,1920.0,1066.0
2021-05-05,1920.0,1945.0,1920.0,1945.0,984.0
2021-05-06,1945.0,1945.0,1945.0,1945.0,604.0
2021-05-07,1945.0,1945.0,1920.0,1920.0,424.0
2021-05-10,1800.0,1800.0,1800.0,1800.0,300.0
2021-05-11,1800.0,1800.0,1800.0,1800.0,112.0
2021-05-12,1800.0,1800.0,1800.0,1800.0,112.0
2021-05-14,1725.0,1725.0,1725.0,1725.0,256.0
2021-05-17,1750.0,1797.5,1750.0,1797.5,328.0
2021-05-18,1750.0,1750.0,1750.0,1750.0,680.0
2021-05-19,1750.0,1750.0,1700.0,1700.0,806.0
2021-05-20,1700.0,1700.0,1700.0,1700.0,392.0
2021-05-21,1700.0,1700.0,1700.0,1700.0,542.0
2021-05-24,1700.0,1700.0,1700.0,1700.0,542.0
2021-05-25,1700.0,1700.0,1700.0,1700.0,1142.0
2021-05-26,1700.0,1700.0,1675.0,1675.0,974.0
2021-05-27,1675.0,1700.0,1675.0,1700.0,1970.0
2021-05-28,1700.0,1827.5,1700.0,1827.5,5116.0
2021-05-31,1850.0,1850.0,1850.0,1850.0,1000.0
2021-06-01,1827.5,1827.5,1827.5,1827.5,90.0
2021-06-02,1800.0,1800.0,1800.0,1800.0,400.0
2021-06-03,1750.0,1790.0,1750.0,1790.0,350.0
2021-06-04,1750.0,1750.0,1750.0,1750.0,1220.0
2021-06-07,1750.0,1750.0,1750.0,1750.0,320.0
2021-06-08,1750.0,1750.0,1705.0,1705.0,1490.0
2021-06-09,1785.0,1787.5,1785.0,1787.5,4610.0
2021-06-10,1850.0,1850.0,1840.0,1840.0,1660.0
2021-06-11,1825.0,1825.0,1810.0,1810.0,1258.0
2021-06-14,1800.0,1800.0,1800.0,1800.0,2280.0
2021-06-15,1802.5,1802.5,1800.0,1800.0,818.0
2021-06-16,1800.0,1800.0,1800.0,1800.0,1992.0
2021-06-17,1800.0,1800.0,1800.0,1800.0,2498.0
2021-06-18,1800.0,1800.0,1790.0,1790.0,1328.0
2021-06-21,1800.0,1800.0,1797.5,1797.5,358.0
2021-06-22,1755.0,1800.0,1755.0,1800.0,602.0
2021-06-23,1825.0,1825.0,1800.0,1800.0,1214.0
2021-06-24,1795.0,1800.0,1795.0,1800.0,1820.0
2021-06-25,1775.0,1790.0,1775.0,1790.0,890.0
2021-06-28,1797.5,1800.0,1797.5,1800.0,1038.0
2021-06-29,1800.0,1850.0,1800.0,1850.0,13248.0
2021-06-30,1815.0,1900.0,1815.0,1900.0,1650.0
2021-07-01,1850.0,1850.0,1827.5,1827.5,218.0
2021-07-02,1827.5,1897.5,1827.5,1897.5,280.0
2021-07-05,1830.0,1897.5,1830.0,1897.5,244.0
2021-07-06,1897.5,1897.5,1897.5,1897.5,700.0
2021-07-07,1897.5,1897.5,1895.0,1895.0,136.0
2021-07-08,1897.5,1897.5,1895.0,1895.0,200.0
2021-07-09,1895.0,1895.0,1895.0,1895.0,110.0
2021-07-12,1850.0,1850.0,1850.0,1850.0,380.0
2021-07-13,1850.0,1850.0,1850.0,1850.0,656.0
2021-07-14,1850.0,1850.0,1850.0,1850.0,726.0
2021-07-15,1850.0,1850.0,1847.5,1847.5,456.0
2021-07-16,1847.5,1850.0,1847.5,1850.0,676.0
2021-07-19,1845.0,1850.0,1845.0,1850.0,230.0
2021-07-20,1845.0,1850.0,1845.0,1850.0,230.0
2021-07-21,1825.0,1825.0,1800.0,1800.0,426.0
2021-07-22,1850.0,1850.0,1850.0,1850.0,648.0
2021-07-23,1850.0,1850.0,1850.0,1850.0,20.0
2021-07-26,1850.0,1850.0,1850.0,1850.0,434.0
2021-07-27,1830.0,1850.0,1830.0,1850.0,2644.0
2021-07-28,1875.0,1895.0,1875.0,1895.0,1244.0
2021-07-29,1895.0,2000.0,1895.0,2000.0,1312.0
2021-07-30,2000.0,2000.0,1950.0,1950.0,532.0
2021-08-02,1947.5,1947.5,1852.5,1852.5,11062.0
2021-08-03,1947.5,1947.5,1947.5,1947.5,672.0
2021-08-04,1947.5,1950.0,1947.5,1950.0,220.0
2021-08-05,1947.5,1950.0,1947.5,1950.0,900.0
2021-08-06,1947.5,1947.5,1947.5,1947.5,772.0
2021-08-09,1947.5,1947.5,1925.0,1925.0,1418.0
2021-08-10,1945.0,1945.0,1902.5,1902.5,2828.0
2021-08-11,1945.0,1947.5,1945.0,1947.5,314.0
2021-08-12,1947.5,1950.0,1947.5,1950.0,6950.0
2021-08-13,1950.0,1950.0,1950.0,1950.0,300.0
2021-08-16,1975.0,1975.0,1950.0,1950.0,5998.0
2021-08-17,1950.0,1950.0,1947.5,1947.5,80.0
2021-08-18,2000.0,2075.0,2000.0,2075.0,11562.0
2021-08-19,2230.0,2230.0,2227.5,2227.5,2448.0
2021-08-20,2227.5,2227.5,2227.5,2227.5,4566.0
2021-08-23,2245.0,2392.5,2245.0,2392.5,1520.0
2021-08-24,2425.0,2425.0,2400.0,2400.0,332.0
2021-08-25,2400.0,2400.0,2300.0,2300.0,772.0
2021-08-26,2250.0,2250.0,2250.0,2250.0,2166.0
2021-08-27,2250.0,2400.0,2250.0,2400.0,2016.0
2021-08-30,2300.0,2395.0,2300.0,2395.0,1876.0
2021-08-31,2395.0,2450.0,2395.0,2450.0,978.0
2021-09-01,2400.0,2400.0,2397.5,2397.5,508.0
2021-09-02,2425.0,2425.0,2397.5,2397.5,344.0
2021-09-03,2397.5,2397.5,2360.0,2360.0,52.0
2021-09-06,2360.0,2360.0,2352.5,2352.5,290.0
2021-09-07,2352.5,2352.5,2300.0,2300.0,1130.0
2021-09-08,2297.5,2297.5,2277.5,2277.5,616.0
2021-09-09,2300.0,2300.0,2300.0,2300.0,5300.0
2021-09-10,2300.0,2300.0,2300.0,2300.0,510.0
2021-09-13,2300.0,2300.0,2300.0,2300.0,1488.0
2021-09-14,2300.0,2400.0,2300.0,2400.0,1956.0
2021-09-15,2280.0,2395.0,2280.0,2395.0,350.0
2021-09-16,2395.0,2395.0,2392.5,2392.5,40.0
2021-09-17,2350.0,2392.5,2350.0,2392.5,586.0
2021-09-20,2392.5,2392.5,2375.0,2375.0,2316.0
2021-09-21,2350.0,2350.0,2350.0,2350.0,4618.0
2021-09-22,2270.0,2375.0,2270.0,2375.0,1162.0
2021-09-23,2375.0,2375.0,2375.0,2375.0,1224.0
2021-09-24,2375.0,2430.0,2375.0,2430.0,27738.0
2021-09-27,2425.0,2425.0,2425.0,2425.0,114.0
2021-09-28,2425.0,2425.0,2425.0,2425.0,2040.0
2021-09-29,2425.0,2430.0,2425.0,2430.0,4384.0
2021-09-30,2425.0,2600.0,2425.0,2600.0,8428.0
2021-10-01,2435.0,2435.0,2427.5,2427.5,1048.0
2021-10-04,2427.5,2427.5,2425.0,2425.0,806.0
2021-10-05,2435.0,2435.0,2427.5,2427.5,1154.0
2021-10-06,2435.0,2450.0,2435.0,2450.0,9332.0
2021-10-07,2440.0,2440.0,2400.0,2400.0,1498.0
2021-10-08,2435.0,2435.0,2427.5,2427.5,660.0
2021-10-11,2427.5,2427.5,2425.0,2425.0,482.0
2021-10-12,2422.5,2425.0,2422.5,2425.0,1536.0
2021-10-13,2422.5,2450.0,2422.5,2450.0,5976.0
2021-10-14,2450.0,2450.0,2450.0,2450.0,924.0
2021-10-15,2425.0,2425.0,2425.0,2425.0,1328.0
2021-10-18,2425.0,2425.0,2425.0,2425.0,1328.0
2021-10-19,2400.0,2400.0,2315.0,2315.0,2562.0
2021-10-20,2422.5,2450.0,2422.5,2450.0,582.0
2021-10-21,2450.0,2450.0,2425.0,2425.0,3710.0
2021-10-22,2425.0,2425.0,2400.0,2400.0,434.0
2021-10-25,2400.0,2400.0,2375.0,2375.0,4556.0
2021-10-26,2425.0,2425.0,2310.0,2310.0,5260.0
2021-10-27,2310.0,2450.0,2310.0,2450.0,28610.0
2021-10-28,2450.0,2450.0,2425.0,2425.0,7496.0
2021-10-29,2447.5,2447.5,2350.0,2350.0,40356.0
2021-11-01,2447.5,2447.5,2350.0,2350.0,40356.0
2021-11-02,2450.0,2450.0,2450.0,2450.0,60.0
2021-11-03,2407.5,2412.5,2407.5,2412.5,10680.0
2021-11-04,2450.0,2450.0,2415.0,2415.0,1282.0
2021-11-05,2430.0,2450.0,2430.0,2450.0,392.0
2021-11-08,2432.5,2450.0,2432.5,2450.0,23940.0
2021-11-09,2450.0,2450.0,2450.0,2450.0,19994.0
2021-11-10,2450.0,2475.0,2450.0,2475.0,1634.0
2021-11-11,2450.0,2475.0,2450.0,2475.0,8860.0
2021-11-12,2472.5,2475.0,2472.5,2475.0,3164.0
2021-11-15,2472.5,2475.0,2472.5,2475.0,3164.0
2021-11-16,2452.5,2452.5,2450.0,2450.0,11916.0
2021-11-17,2450.0,2475.0,2450.0,2475.0,762.0
2021-11-18,2475.0,2600.0,2475.0,2600.0,8954.0
2021-11-19,2600.0,2792.5,2600.0,2792.5,1510.0
2021-11-22,2792.5,2815.0,2792.5,2815.0,1112.0
2021-11-23,2750.0,2750.0,2750.0,2750.0,2460.0
2021-11-24,2747.5,2750.0,2747.5,2750.0,8118.0
2021-11-25,2750.0,2750.0,2750.0,2750.0,9984.0
2021-11-26,2750.0,2750.0,2750.0,2750.0,2526.0
2021-11-29,2750.0,2750.0,2725.0,2725.0,2166.0
2021-11-30,2700.0,2725.0,2700.0,2725.0,1550.0
2021-12-01,2722.5,2722.5,2722.5,2722.5,1228.0
2021-12-02,2722.5,2722.5,2720.0,2720.0,1378.0
2021-12-03,2720.0,2722.5,2720.0,2722.5,17916.0
2021-12-06,2720.0,2720.0,2720.0,2720.0,516.0
2021-12-07,2720.0,2725.0,2720.0,2725.0,2848.0
2021-12-08,2700.0,2700.0,2697.5,2697.5,2530.0
2021-12-09,2695.0,2695.0,2652.5,2652.5,2392.0
2021-12-10,2652.5,2720.0,2652.5,2720.0,3376.0
2021-12-13,2725.0,2725.0,2650.0,2650.0,4376.0
2021-12-14,2650.0,2650.0,2552.5,2552.5,974.0
2021-12-15,2640.0,2650.0,2640.0,2650.0,1210.0
2021-12-16,2550.0,2847.5,2550.0,2847.5,17544.0
2021-12-17,2847.5,2847.5,2750.0,2750.0,534.0
2021-12-20,2750.0,2950.0,2750.0,2950.0,8280.0
2021-12-21,2955.0,2955.0,2955.0,2955.0,6702.0
2021-12-22,2735.0,3175.0,2735.0,3175.0,10738.0
2021-12-23,2955.0,3350.0,2955.0,3350.0,8530.0
2021-12-27,3100.0,3100.0,3100.0,3100.0,12.0
2021-12-28,3000.0,3000.0,3000.0,3000.0,134.0
2021-12-29,2940.0,2940.0,2795.0,2795.0,672.0
2021-12-30,2650.0,2997.5,2650.0,2997.5,16774.0
2021-12-31,2777.5,2927.5,2777.5,2927.5,2750.0
2022-01-03,2985.0,2997.5,2985.0,2997.5,11164.0
2022-01-04,2995.0,2995.0,2950.0,2950.0,636.0
2022-01-05,2950.0,2950.0,2947.5,2947.5,44.0
2022-01-06,2800.0,2800.0,2750.0,2750.0,634.0
2022-01-07,2750.0,2750.0,2747.5,2747.5,1248.0
2022-01-10,2747.5,2747.5,2725.0,2725.0,128.0
2022-01-11,2725.0,2895.0,2725.0,2895.0,890.0
2022-01-12,2680.0,2750.0,2680.0,2750.0,1310.0
2022-01-13,2722.5,2722.5,2722.5,2722.5,176.0
2022-01-14,2722.5,2722.5,2722.5,2722.5,788.0
2022-01-17,2720.0,2720.0,2715.0,2715.0,1024.0
2022-01-18,2712.5,2712.5,2710.0,2710.0,2068.0
2022-01-19,2675.0,2747.5,2675.0,2747.5,890.0
2022-01-20,2750.0,2750.0,2750.0,2750.0,134.0
2022-01-21,2722.5,2725.0,2722.5,2725.0,844.0
2022-01-24,2725.0,2725.0,2725.0,2725.0,222.0
2022-01-25,2725.0,2750.0,2725.0,2750.0,1790.0
2022-01-26,2715.0,2747.5,2715.0,2747.5,630.0
2022-01-27,2715.0,2747.5,2715.0,2747.5,398.0
2022-01-28,2725.0,2725.0,2715.0,2715.0,210.0
2022-01-31,2715.0,2800.0,2715.0,2800.0,1652.0
2022-02-01,2715.0,2715.0,2715.0,2715.0,98.0
2022-02-02,2747.5,2747.5,2700.0,2700.0,1146.0
2022-02-03,2700.0,2700.0,2700.0,2700.0,1826.0
2022-02-04,2715.0,2715.0,2700.0,2700.0,834.0
2022-02-07,2712.5,2712.5,2700.0,2700.0,272.0
2022-02-08,2700.0,2700.0,2700.0,2700.0,878.0
2022-02-09,2675.0,2675.0,2650.0,2650.0,1470.0
2022-02-10,2655.0,2655.0,2625.0,2625.0,3860.0
2022-02-11,2625.0,2652.5,2625.0,2652.5,10660.0
2022-02-14,2630.0,2630.0,2600.0,2600.0,1720.0
2022-02-15,2600.0,2600.0,2600.0,2600.0,2552.0
2022-02-16,2600.0,2600.0,2600.0,2600.0,11500.0
2022-02-17,2600.0,2747.5,2600.0,2747.5,3742.0
2022-02-18,2747.5,2747.5,2747.5,2747.5,100.0
2022-02-21,2745.0,2745.0,2745.0,2745.0,6222.0
2022-02-22,2745.0,2745.0,2700.0,2700.0,1340.0
2022-02-23,2700.0,2700.0,2700.0,2700.0,286.0
2022-02-24,2700.0,2700.0,2700.0,2700.0,2556.0
2022-02-25,2700.0,2700.0,2700.0,2700.0,636.0
2022-02-28,2700.0,2732.5,2700.0,2732.5,28710.0
2022-03-01,2735.0,2737.5,2735.0,2737.5,2570.0
2022-03-02,2735.0,2750.0,2735.0,2750.0,902.0
2022-03-03,2750.0,2850.0,2750.0,2850.0,8272.0
2022-03-04,2847.5,2847.5,2777.5,2777.5,628.0
2022-03-07,2777.5,2800.0,2777.5,2800.0,872.0
2022-03-08,2752.5,2845.0,2752.5,2845.0,718.0
2022-03-09,2737.5,2775.0,2737.5,2775.0,8800.0
2022-03-10,2740.0,2740.0,2740.0,2740.0,3644.0
2022-03-11,2750.0,2897.5,2750.0,2897.5,11344.0
2022-03-14,2895.0,2895.0,2875.0,2875.0,5144.0
2022-03-15,2687.5,2695.0,2687.5,2695.0,57930.0
2022-03-16,2600.0,2695.0,2600.0,2695.0,2670.0
2022-03-17,2697.5,2750.0,2697.5,2750.0,1032.0
2022-03-18,2750.0,2750.0,2700.0,2700.0,3142.0
2022-03-21,2725.0,2725.0,2725.0,2725.0,374.0
2022-03-22,2725.0,2800.0,2725.0,2800.0,3184.0
2022-03-23,2800.0,2800.0,2725.0,2725.0,2794.0
2022-03-24,2725.0,2747.5,2725.0,2747.5,1026.0
2022-03-25,2747.5,2747.5,2730.0,2730.0,2490.0
2022-03-28,2725.0,2747.5,2725.0,2747.5,6736.0
2022-03-29,2747.5,2747.5,2740.0,2740.0,176.0
2022-03-30,2740.0,2900.0,2740.0,2900.0,18798.0
2022-03-31,2875.0,2875.0,2697.5,2697.5,14516.0
2022-04-01,2697.5,2800.0,2697.5,2800.0,172.0
2022-04-04,2750.0,2800.0,2750.0,2800.0,1232.0
2022-04-05,2800.0,2850.0,2800.0,2850.0,1600.0
2022-04-06,2800.0,2800.0,2800.0,2800.0,30.0
2022-04-07,2800.0,2800.0,2800.0,2800.0,278.0
2022-04-08,2797.5,2797.5,2797.5,2797.5,394.0
2022-04-11,2750.0,2750.0,2750.0,2750.0,11508.0
2022-04-12,2750.0,2750.0,2750.0,2750.0,692.0
2022-04-13,2750.0,2750.0,2730.0,2730.0,1350.0
2022-04-14,2740.0,2740.0,2740.0,2740.0,2042.0
2022-04-15,2702.5,2740.0,2702.5,2740.0,420.0
2022-04-19,2697.5,2740.0,2697.5,2740.0,200.0
2022-04-20,2740.0,2740.0,2700.0,2700.0,1808.0
2022-04-21,2697.5,2697.5,2695.0,2695.0,1380.0
2022-04-22,2695.0,2695.0,2695.0,2695.0,472.0
2022-04-25,2695.0,2725.0,2695.0,2725.0,1032.0
2022-04-26,2530.0,2687.5,2530.0,2687.5,978.0
2022-04-27,2525.0,2647.5,2525.0,2647.5,7192.0
2022-04-28,2525.0,2647.5,2525.0,2647.5,7192.0
2022-04-29,2605.0,2645.0,2605.0,2645.0,262.0
2022-05-02,2605.0,2645.0,2605.0,2645.0,262.0
2022-05-03,2605.0,2607.5,2605.0,2607.5,1126.0
2022-05-04,2525.0,2600.0,2525.0,2600.0,436.0
2022-05-05,2600.0,2600.0,2525.0,2525.0,692.0
2022-05-06,2525.0,2587.5,2525.0,2587.5,328.0
2022-05-09,2587.5,2587.5,2587.5,2587.5,80.0
2022-05-10,2582.5,2582.5,2500.0,2500.0,238.0
2022-05-11,2500.0,2500.0,2475.0,2475.0,452.0
2022-05-12,2500.0,2500.0,2475.0,2475.0,452.0
2022-05-13,2497.5,2597.5,2497.5,2597.5,628.0
2022-05-16,2597.5,2597.5,2500.0,2500.0,1180.0
2022-05-17,2500.0,2500.0,2475.0,2475.0,446.0
2022-05-18,2495.0,2495.0,2472.5,2472.5,1754.0
2022-05-19,2475.0,2475.0,2472.5,2472.5,212.0
2022-05-20,2465.0,2465.0,2462.5,2462.5,62.0
2022-05-23,2462.5,2470.0,2462.5,2470.0,804.0
2022-05-24,2450.0,2450.0,2340.0,2340.0,442.0
2022-05-25,2350.0,2350.0,2340.0,2340.0,558.0
2022-05-26,2350.0,2350.0,2340.0,2340.0,558.0
2022-05-27,2350.0,2472.5,2350.0,2472.5,4600.0
2022-05-30,2475.0,2600.0,2475.0,2600.0,4890.0
2022-05-31,2550.0,2550.0,2525.0,2525.0,866.0
2022-06-01,2525.0,2600.0,2525.0,2600.0,15674.0
2022-06-02,2525.0,2600.0,2525.0,2600.0,2616.0
2022-06-03,2600.0,2600.0,2550.0,2550.0,420.0
2022-06-06,2600.0,2600.0,2550.0,2550.0,420.0
2022-06-07,2550.0,2600.0,2550.0,2600.0,564.0
2022-06-08,2550.0,2550.0,2525.0,2525.0,404.0
2022-06-09,2525.0,2525.0,2525.0,2525.0,242.0
2022-06-10,2525.0,2525.0,2525.0,2525.0,570.0
2022-06-13,2525.0,2600.0,2525.0,2600.0,400.0
2022-06-14,2600.0,2600.0,2600.0,2600.0,288.0
2022-06-15,2595.0,2600.0,2595.0,2600.0,648.0
2022-06-16,2550.0,2600.0,2550.0,2600.0,1160.0
2022-06-17,2600.0,2600.0,2600.0,2600.0,106.0
2022-06-20,2595.0,2600.0,2595.0,2600.0,1276.0
2022-06-21,2430.0,2600.0,2430.0,2600.0,468.0
2022-06-22,2600.0,2600.0,2600.0,2600.0,124.0
2022-06-23,2600.0,2600.0,2445.0,2445.0,36.0
2022-06-24,2450.0,2600.0,2450.0,2600.0,462.0
2022-06-27,2600.0,2600.0,2550.0,2550.0,1214.0
2022-06-28,2550.0,2550.0,2550.0,2550.0,2016.0
2022-06-29,2550.0,2550.0,2500.0,2500.0,3490.0
2022-06-30,2550.0,2575.0,2550.0,2575.0,182.0
2022-07-01,2550.0,2550.0,2452.5,2452.5,1460.0
2022-07-04,2450.0,2450.0,2425.0,2425.0,410.0
2022-07-05,2500.0,2500.0,2500.0,2500.0,288.0
2022-07-06,2432.5,2500.0,2432.5,2500.0,306.0
2022-07-07,2587.5,2587.5,2587.5,2587.5,400.0
2022-07-08,2437.5,2500.0,2437.5,2500.0,142.0
2022-07-11,2452.5,2497.5,2452.5,2497.5,84.0
2022-07-12,2452.5,2500.0,2452.5,2500.0,158.0
2022-07-13,2455.0,2475.0,2455.0,2475.0,2064.0
2022-07-14,2475.0,2475.0,2475.0,2475.0,7680.0
2022-07-15,2477.5,2477.5,2477.5,2477.5,66.0
2022-07-18,2477.5,2477.5,2477.5,2477.5,1028.0
2022-07-19,2477.5,2500.0,2477.5,2500.0,182.0
2022-07-20,2500.0,2525.0,2500.0,2525.0,514.0
2022-07-21,2525.0,2547.5,2525.0,2547.5,570.0
2022-07-22,2500.0,2545.0,2500.0,2545.0,420.0
2022-07-25,2500.0,2525.0,2500.0,2525.0,446.0
2022-07-26,2525.0,2525.0,2500.0,2500.0,7978.0
2022-07-27,2502.5,2542.5,2502.5,2542.5,108.0
2022-07-28,2502.5,2542.5,2502.5,2542.5,108.0
2022-07-29,2532.5,2532.5,2460.0,2460.0,3844.0
2022-08-01,2462.5,2462.5,2460.0,2460.0,948.0
2022-08-02,2460.0,2460.0,2460.0,2460.0,2316.0
2022-08-03,2460.0,2460.0,2460.0,2460.0,2552.0
2022-08-04,2460.0,2460.0,2392.5,2392.5,230.0
2022-08-05,2400.0,2400.0,2375.0,2375.0,3368.0
2022-08-08,2400.0,2400.0,2375.0,2375.0,3368.0
2022-08-09,2375.0,2375.0,2352.5,2352.5,1942.0
2022-08-10,2375.0,2375.0,2350.0,2350.0,4308.0
2022-08-11,2350.0,2350.0,2350.0,2350.0,3964.0
2022-08-12,2350.0,2350.0,2350.0,2350.0,396.0
2022-08-15,2350.0,2350.0,2350.0,2350.0,396.0
2022-08-16,2347.5,2350.0,2347.5,2350.0,868.0
2022-08-17,2350.0,2350.0,2300.0,2300.0,320.0
2022-08-18,2300.0,2350.0,2300.0,2350.0,14094.0
2022-08-19,2350.0,2350.0,2300.0,2300.0,682.0
2022-08-22,2200.0,2300.0,2200.0,2300.0,3996.0
2022-08-23,2250.0,2250.0,2250.0,2250.0,684.0
2022-08-24,2200.0,2225.0,2200.0,2225.0,4574.0
2022-08-25,2225.0,2295.0,2225.0,2295.0,35702.0
2022-08-26,2295.0,2295.0,2292.5,2292.5,4056.0
2022-08-29,2292.5,2295.0,2292.5,2295.0,716.0
2022-08-30,2180.0,2250.0,2180.0,2250.0,958.0
2022-08-31,2270.0,2270.0,2270.0,2270.0,3996.0
2022-09-01,2225.0,2225.0,2200.0,2200.0,2050.0
2022-09-02,2200.0,2200.0,2200.0,2200.0,1056.0
2022-09-05,2200.0,2200.0,2182.5,2182.5,1912.0
2022-09-06,2182.5,2182.5,2182.5,2182.5,1228.0
2022-09-07,2182.5,2182.5,2155.0,2155.0,1152.0
2022-09-08,2175.0,2175.0,2100.0,2100.0,2532.0
2022-09-09,2107.5,2150.0,2107.5,2150.0,2258.0
2022-09-12,2150.0,2150.0,2145.0,2145.0,890.0
2022-09-13,2147.5,2150.0,2147.5,2150.0,1124.0
2022-09-14,2147.5,2182.5,2147.5,2182.5,65390.0
2022-09-15,2100.0,2172.5,2100.0,2172.5,6810.0
2022-09-16,2185.0,2300.0,2185.0,2300.0,23104.0
2022-09-19,2300.0,2300.0,2300.0,2300.0,8192.0
2022-09-20,2340.0,2340.0,2300.0,2300.0,13248.0
2022-09-21,2350.0,2425.0,2350.0,2425.0,73632.0
2022-09-22,2300.0,2440.0,2300.0,2440.0,158.0
2022-09-23,2262.5,2447.5,2262.5,2447.5,1358.0
2022-09-26,2447.5,2447.5,2437.5,2437.5,34182.0
2022-09-27,2350.0,2350.0,2350.0,2350.0,6604.0
2022-09-28,2350.0,2350.0,2275.0,2275.0,12356.0
2022-09-29,2275.0,2275.0,2250.0,2250.0,2888.0
2022-09-30,2225.0,2247.5,2225.0,2247.5,1172.0
2022-10-03,2247.5,2250.0,2247.5,2250.0,2312.0
2022-10-04,2250.0,2250.0,2250.0,2250.0,11250.0
2022-10-05,2225.0,2225.0,2200.0,2200.0,958.0
2022-10-06,2172.5,2172.5,2152.5,2152.5,4256.0
2022-10-07,2200.0,2200.0,2200.0,2200.0,170.0
2022-10-10,2200.0,2200.0,2200.0,2200.0,1482.0
2022-10-11,2200.0,2200.0,2200.0,2200.0,2206.0
2022-10-12,2200.0,2200.0,2175.0,2175.0,1112.0
2022-10-13,2200.0,2200.0,2175.0,2175.0,3206.0
2022-10-14,2175.0,2175.0,2172.5,2172.5,966.0
2022-10-17,2170.0,2170.0,2150.0,2150.0,618.0
2022-10-18,2150.0,2150.0,2150.0,2150.0,5060.0
2022-10-19,2147.5,2147.5,2147.5,2147.5,31980.0
2022-10-20,2147.5,2147.5,2147.5,2147.5,6060.0
2022-10-21,2147.5,2147.5,2147.5,2147.5,8024.0
2022-10-24,2150.0,2200.0,2150.0,2200.0,2640.0
2022-10-25,2245.0,2245.0,2245.0,2245.0,594.0
2022-10-26,2245.0,2245.0,2225.0,2225.0,22870.0
2022-10-27,2200.0,2200.0,2200.0,2200.0,11724.0
2022-10-28,2200.0,2200.0,2097.5,2097.5,16964.0
2022-10-31,2200.0,2200.0,2097.5,2097.5,16964.0
2022-11-01,2100.0,2100.0,2100.0,2100.0,218.0
2022-11-02,2100.0,2100.0,2100.0,2100.0,3566.0
2022-11-03,2100.0,2100.0,2097.5,2097.5,1588.0
2022-11-04,2097.5,2097.5,2075.0,2075.0,19376.0
2022-11-07,2075.0,2075.0,2075.0,2075.0,1200.0
2022-11-08,2052.5,2052.5,2047.5,2047.5,27928.0
2022-11-09,2000.0,2050.0,2000.0,2050.0,2370.0
2022-11-10,2050.0,2050.0,1950.0,1950.0,18060.0
2022-11-11,1950.0,1950.0,1950.0,1950.0,5996.0
2022-11-14,1950.0,1950.0,1950.0,1950.0,466.0
2022-11-15,1950.0,1950.0,1950.0,1950.0,466.0
2022-11-16,1950.0,1950.0,1875.0,1875.0,14974.0
2022-11-17,1870.0,1875.0,1870.0,1875.0,23908.0
2022-11-18,1870.0,1870.0,1850.0,1850.0,31186.0
2022-11-21,1850.0,1850.0,1775.0,1775.0,3418.0
2022-11-22,1777.5,1787.5,1777.5,1787.5,47642.0
2022-11-23,1787.5,1787.5,1787.5,1787.5,26938.0
2022-11-24,1787.5,1787.5,1787.5,1787.5,39464.0
