date,open,high,low,close,volume
2025-05-12,99.53,99.53,99.53,99.53,0.0
2025-05-13,99.54,99.54,99.54,99.54,0.0
2025-05-14,99.63,99.63,99.63,99.63,0.0
2025-05-15,99.63,99.63,99.63,99.63,0.0
2025-05-16,99.31,99.31,99.31,99.31,0.0
2025-05-19,99.31,99.31,99.31,99.31,0.0
2025-05-20,98.84,98.84,98.84,98.84,0.0
2025-05-21,99.17,99.17,99.17,99.17,0.0
2025-05-22,97.42,97.42,97.42,97.42,0.0
2025-05-23,97.44,97.44,97.44,97.44,0.0
2025-05-26,96.69,96.69,96.69,96.69,0.0
2025-05-27,97.25,97.25,97.25,97.25,0.0
2025-05-28,97.11,97.11,97.11,97.11,0.0
2025-05-29,97.11,97.11,97.11,97.11,0.0
2025-05-30,97.34,97.34,97.34,97.34,0.0
2025-06-02,97.32,97.32,97.32,97.32,0.0
2025-06-03,97.27,97.27,97.27,97.27,0.0
2025-06-04,96.66,96.66,96.66,96.66,0.0
2025-06-05,96.62,96.62,96.62,96.62,0.0
2025-06-10,97.22,97.22,97.22,97.22,0.0
2025-06-11,97.23,97.23,97.23,97.23,0.0
2025-06-12,97.84,97.84,97.84,97.84,0.0
2025-06-13,96.69,96.69,96.69,96.69,0.0
2025-06-16,96.33,96.33,96.33,96.33,0.0
2025-06-17,97.59,97.59,97.59,97.59,0.0
2025-06-18,97.31,97.31,97.31,97.31,0.0
2025-06-19,97.35,97.35,97.35,97.35,0.0
2025-06-20,98.35,98.35,98.35,98.35,0.0
2025-06-23,97.23,97.23,97.23,97.23,0.0
2025-06-24,97.44,97.44,97.44,97.44,0.0
2025-06-25,96.03,96.03,96.03,96.03,0.0
2025-06-26,98.19,98.19,98.19,98.19,0.0
2025-06-27,96.01,96.01,96.01,96.01,0.0
2025-06-30,97.63,97.63,97.63,97.63,0.0
2025-07-01,95.5,95.5,95.5,95.5,0.0
2025-07-02,93.84,93.84,93.84,93.84,0.0
2025-07-03,95.56,95.56,95.56,95.56,0.0
2025-07-04,95.34,95.34,95.34,95.34,0.0
2025-07-07,94.66,94.66,94.66,94.66,0.0
2025-07-08,93.85,93.85,93.85,93.85,0.0
2025-07-09,93.66,93.66,93.66,93.66,0.0
2025-07-10,94.16,94.16,94.16,94.16,0.0
2025-07-11,93.54,93.54,93.54,93.54,0.0
2025-07-14,92.48,92.48,92.48,92.48,0.0
2025-07-15,94.01,94.01,94.01,94.01,0.0
2025-07-16,96.03,96.03,96.03,96.03,0.0
2025-07-17,93.93,93.93,93.93,93.93,0.0
2025-07-18,94.25,94.25,94.25,94.25,0.0
2025-07-21,93.29,93.29,93.29,93.29,0.0
2025-07-22,93.83,93.83,93.83,93.83,0.0
2025-07-23,92.84,92.84,92.84,92.84,0.0
2025-07-24,92.67,92.67,92.67,92.67,0.0
2025-07-25,93.79,93.79,93.79,93.79,0.0
2025-07-28,92.17,92.17,92.17,92.17,0.0
2025-07-29,92.52,92.52,92.52,92.52,0.0
2025-07-30,92.13,92.13,92.13,92.13,0.0
2025-07-31,92.05,92.05,92.05,92.05,0.0
2025-08-01,92.57,92.57,92.57,92.57,0.0
2025-08-04,92.36,92.36,92.36,92.36,0.0
2025-08-05,91.54,91.54,91.54,91.54,0.0
2025-08-06,91.84,91.84,91.84,91.84,0.0
2025-08-07,91.84,91.84,91.84,91.84,0.0
2025-08-08,92.11,92.11,92.11,92.11,0.0
2025-08-11,92.02,92.02,92.02,92.02,0.0
2025-08-12,92.01,92.01,92.01,92.01,0.0
2025-08-13,92.06,92.06,92.06,92.06,0.0
2025-08-14,93.32,93.32,93.32,93.32,0.0
2025-08-15,93.32,93.32,93.32,93.32,0.0
2025-08-18,93.19,93.19,93.19,93.19,0.0
2025-08-19,93.71,93.71,93.71,93.71,0.0
2025-08-20,92.94,92.94,92.94,92.94,0.0
2025-08-21,93.83,93.83,93.83,93.83,0.0
2025-08-22,93.61,93.61,93.61,93.61,0.0
2025-08-25,93.22,93.22,93.22,93.22,0.0
2025-08-26,94.79,94.79,94.79,94.79,0.0
2025-08-27,93.87,93.87,93.87,93.87,0.0
2025-08-28,94.43,94.43,94.43,94.43,0.0
2025-08-29,94.72,94.72,94.72,94.72,0.0
2025-09-01,94.42,94.42,94.42,94.42,0.0
2025-09-02,94.34,94.34,94.34,94.34,0.0
2025-09-03,94.71,94.71,94.71,94.71,0.0
2025-09-04,94.71,94.71,94.71,94.71,0.0
2025-09-05,94.42,94.42,94.42,94.42,0.0
2025-09-08,94.44,94.44,94.44,94.44,0.0
2025-09-09,94.26,94.26,94.26,94.26,0.0
2025-09-10,93.9,93.9,93.9,93.9,0.0
2025-09-11,93.91,93.91,93.91,93.91,0.0
2025-09-12,94.64,94.64,94.64,94.64,0.0
2025-09-15,94.45,94.45,94.45,94.45,0.0
2025-09-16,94.94,94.94,94.94,94.94,0.0
2025-09-17,94.95,94.95,94.95,94.95,0.0
2025-09-18,95.9,95.9,95.9,95.9,0.0
