date,open,high,low,close,volume
2021-04-07,1180.0,1265.0,1180.0,1265.0,31.0
2021-04-08,1190.0,1300.0,1190.0,1300.0,182.0
2021-04-09,1265.0,1270.0,1265.0,1270.0,208.0
2021-04-12,1265.0,1265.0,1265.0,1265.0,70.0
2021-04-13,1250.0,1265.0,1250.0,1265.0,125.0
2021-04-14,1265.0,1265.0,1265.0,1265.0,53.0
2021-04-15,1265.0,1265.0,1265.0,1265.0,395.0
2021-04-16,1265.0,1265.0,1260.0,1260.0,147.0
2021-04-19,1260.0,1260.0,1250.0,1250.0,364.0
2021-04-20,1250.0,1270.0,1250.0,1270.0,91.0
2021-04-21,1270.0,1270.0,1260.0,1260.0,143.0
2021-04-22,1260.0,1265.0,1260.0,1265.0,308.0
2021-04-23,1240.0,1240.0,1240.0,1240.0,1891.0
2021-04-26,1240.0,1240.0,1235.0,1235.0,302.0
2021-04-27,1235.0,1235.0,1230.0,1230.0,685.0
2021-04-28,1200.0,1230.0,1200.0,1230.0,1549.0
2021-04-29,1230.0,1280.0,1230.0,1280.0,626.0
2021-04-30,1255.0,1260.0,1255.0,1260.0,338.0
2021-05-03,1260.0,1260.0,1260.0,1260.0,2.0
2021-05-04,1200.0,1250.0,1200.0,1250.0,1756.0
2021-05-05,1250.0,1250.0,1245.0,1245.0,5763.0
2021-05-06,1250.0,1250.0,1250.0,1250.0,197.0
2021-05-07,1250.0,1250.0,1250.0,1250.0,255.0
2021-05-10,1245.0,1250.0,1245.0,1250.0,3679.0
2021-05-11,1290.0,1290.0,1250.0,1250.0,113.0
2021-05-12,1290.0,1290.0,1250.0,1250.0,113.0
2021-05-14,1290.0,1290.0,1290.0,1290.0,86.0
2021-05-17,1285.0,1285.0,1250.0,1250.0,157.0
2021-05-18,1250.0,1250.0,1250.0,1250.0,3613.0
2021-05-19,1245.0,1250.0,1245.0,1250.0,19.0
2021-05-20,1285.0,1285.0,1250.0,1250.0,75.0
2021-05-21,1285.0,1285.0,1285.0,1285.0,269.0
2021-05-24,1285.0,1285.0,1285.0,1285.0,269.0
2021-05-25,1285.0,1285.0,1285.0,1285.0,71.0
2021-05-26,1280.0,1280.0,1250.0,1250.0,365.0
