date,open,high,low,close,volume
2021-04-07,410.0,410.0,410.0,410.0,205.0
2021-04-08,390.0,410.0,390.0,410.0,160.0
2021-04-09,390.0,410.0,390.0,410.0,87.0
2021-04-12,415.0,415.0,415.0,415.0,500.0
2021-04-13,410.0,430.0,410.0,430.0,1030.0
2021-04-14,430.0,430.0,430.0,430.0,3.0
2021-04-15,430.0,430.0,410.0,410.0,1088.0
2021-04-20,425.0,430.0,425.0,430.0,1840.0
2021-04-21,415.0,415.0,415.0,415.0,100.0
2021-04-22,430.0,435.0,430.0,435.0,2265.0
2021-04-23,435.0,435.0,435.0,435.0,150.0
2021-04-26,435.0,435.0,435.0,435.0,473.0
2021-04-27,430.0,430.0,430.0,430.0,497.0
2021-04-28,435.0,435.0,430.0,430.0,359.0
2021-04-29,435.0,435.0,435.0,435.0,250.0
2021-05-03,410.0,435.0,410.0,435.0,91.0
2021-05-04,415.0,415.0,415.0,415.0,20.0
2021-05-06,430.0,430.0,430.0,430.0,50.0
2021-05-07,435.0,440.0,435.0,440.0,2119.0
2021-05-10,435.0,440.0,435.0,440.0,291.0
2021-05-14,440.0,440.0,440.0,440.0,2.0
2021-05-17,435.0,435.0,435.0,435.0,1959.0
2021-05-18,430.0,430.0,430.0,430.0,144.0
2021-05-19,430.0,430.0,425.0,425.0,118.0
2021-05-20,435.0,435.0,435.0,435.0,7.0
2021-05-21,435.0,435.0,430.0,430.0,194.0
2021-05-24,435.0,435.0,430.0,430.0,194.0
2021-05-25,440.0,440.0,400.0,400.0,2965.0
2021-05-26,400.0,430.0,400.0,430.0,2710.0
2021-05-27,430.0,430.0,430.0,430.0,20.0
2021-05-28,430.0,460.0,430.0,460.0,920.0
2021-05-31,490.0,490.0,490.0,490.0,2424.0
2021-06-01,490.0,490.0,485.0,485.0,1826.0
2021-06-02,490.0,500.0,490.0,500.0,2564.0
2021-06-03,500.0,535.0,500.0,535.0,4321.0
2021-06-04,575.0,575.0,575.0,575.0,1548.0
2021-06-07,600.0,615.0,600.0,615.0,1625.0
2021-06-08,660.0,660.0,660.0,660.0,2981.0
2021-06-09,705.0,705.0,705.0,705.0,4011.0
2021-06-10,755.0,755.0,755.0,755.0,3173.0
2021-06-11,810.0,810.0,810.0,810.0,4731.0
2021-06-14,820.0,820.0,750.0,750.0,5674.0
2021-06-15,725.0,725.0,720.0,720.0,10824.0
2021-06-16,715.0,720.0,715.0,720.0,34461.0
2021-06-17,700.0,700.0,700.0,700.0,10543.0
2021-06-18,700.0,700.0,660.0,660.0,11146.0
2021-06-21,670.0,670.0,650.0,650.0,762.0
2021-06-22,650.0,650.0,605.0,605.0,6458.0
2021-06-23,605.0,605.0,605.0,605.0,4626.0
2021-06-24,575.0,650.0,575.0,650.0,2454.0
2021-06-25,645.0,645.0,645.0,645.0,221.0
2021-06-28,640.0,640.0,640.0,640.0,660.0
2021-06-29,610.0,610.0,610.0,610.0,7154.0
2021-06-30,610.0,610.0,610.0,610.0,6242.0
2021-07-01,625.0,625.0,620.0,620.0,2945.0
2021-07-02,630.0,640.0,630.0,640.0,321.0
2021-07-05,685.0,685.0,685.0,685.0,48.0
