date,open,high,low,close,volume
2021-04-07,3595.0,3600.0,3595.0,3600.0,13818.0
2021-04-08,3600.0,3600.0,3600.0,3600.0,1078.0
2021-04-09,3600.0,3600.0,3500.0,3500.0,312.0
2021-04-12,3500.0,3500.0,3400.0,3400.0,1029.0
2021-04-13,3500.0,3500.0,3200.0,3200.0,41501.0
2021-04-14,3440.0,3440.0,3210.0,3210.0,2405.0
2021-04-15,3210.0,3300.0,3210.0,3300.0,163514.0
2021-04-16,3305.0,3500.0,3305.0,3500.0,57.0
2021-04-19,3490.0,3495.0,3490.0,3495.0,236.0
2021-04-20,3495.0,3495.0,3480.0,3480.0,142330.0
2021-04-21,3480.0,3480.0,3450.0,3450.0,92.0
2021-04-22,3450.0,3500.0,3450.0,3500.0,4721.0
2021-04-23,3500.0,3600.0,3500.0,3600.0,2418.0
2021-04-26,3600.0,3600.0,3595.0,3595.0,97.0
2021-04-27,3590.0,3590.0,3500.0,3500.0,658.0
2021-04-28,3600.0,3600.0,3590.0,3590.0,606.0
2021-04-29,3555.0,3590.0,3555.0,3590.0,317.0
2021-04-30,3600.0,3600.0,3600.0,3600.0,30.0
2021-05-03,3600.0,3600.0,3590.0,3590.0,586.0
2021-05-04,3115.0,3345.0,3115.0,3345.0,567.0
2021-05-05,3535.0,3535.0,3500.0,3500.0,743.0
2021-05-06,3405.0,3405.0,3405.0,3405.0,590.0
2021-05-07,3150.0,3450.0,3150.0,3450.0,388.0
2021-05-10,3445.0,3445.0,3300.0,3300.0,194.0
2021-05-11,3295.0,3295.0,3290.0,3290.0,2601.0
2021-05-12,3295.0,3295.0,3290.0,3290.0,2601.0
2021-05-14,3200.0,3200.0,3200.0,3200.0,2028.0
2021-05-17,3200.0,3225.0,3200.0,3225.0,627.0
2021-05-18,3245.0,3250.0,3245.0,3250.0,419.0
2021-05-19,3250.0,3250.0,3250.0,3250.0,266.0
2021-05-20,3250.0,3250.0,3200.0,3200.0,3659.0
2021-05-21,3200.0,3250.0,3200.0,3250.0,3212.0
2021-05-24,3200.0,3250.0,3200.0,3250.0,3212.0
2021-05-25,3250.0,3350.0,3250.0,3350.0,716.0
2021-05-26,3350.0,3350.0,3350.0,3350.0,601.0
2021-05-27,3400.0,3425.0,3400.0,3425.0,536.0
2021-05-28,3350.0,3350.0,3350.0,3350.0,1057.0
2021-05-31,3400.0,3400.0,3400.0,3400.0,260.0
2021-06-01,3400.0,3400.0,3400.0,3400.0,1304.0
2021-06-02,3400.0,3400.0,3390.0,3390.0,723.0
2021-06-03,3390.0,3390.0,3375.0,3375.0,210.0
2021-06-04,3385.0,3385.0,3375.0,3375.0,154.0
2021-06-07,3390.0,3390.0,3390.0,3390.0,422.0
2021-06-08,3390.0,3390.0,3300.0,3300.0,1166.0
2021-06-09,3300.0,3385.0,3300.0,3385.0,532.0
