date,open,high,low,close,volume
2021-04-07,13.0,13.0,13.0,13.0,8170.0
2021-04-09,13.0,13.0,13.0,13.0,7600.0
2021-04-12,13.0,13.0,13.0,13.0,2456.0
2021-04-14,13.0,13.0,13.0,13.0,100.0
2021-04-15,13.0,13.0,13.0,13.0,6615.0
2021-04-16,13.0,13.0,13.0,13.0,2500.0
2021-04-19,13.0,13.0,13.0,13.0,2615.0
2021-04-21,13.0,13.0,13.0,13.0,1300.0
2021-04-22,13.0,13.0,13.0,13.0,255326.0
2021-04-23,13.0,13.0,13.0,13.0,226.0
2021-04-26,13.0,13.0,13.0,13.0,1830.0
2021-04-28,13.0,13.0,13.0,13.0,15020.0
2021-04-29,13.0,13.0,13.0,13.0,85100.0
2021-04-30,13.0,13.0,13.0,13.0,16213.0
2021-05-03,13.0,13.0,13.0,13.0,17008.0
2021-05-04,13.0,13.0,13.0,13.0,520.0
2021-05-05,13.0,13.0,13.0,13.0,23768.0
2021-05-06,13.0,13.0,13.0,13.0,12534.0
2021-05-07,13.0,13.0,13.0,13.0,16000.0
2021-05-10,13.0,13.0,13.0,13.0,9915.0
2021-05-11,13.0,13.0,13.0,13.0,3386.0
2021-05-12,13.0,13.0,13.0,13.0,3386.0
2021-05-14,13.0,13.0,13.0,13.0,15000.0
2021-05-17,13.0,13.0,13.0,13.0,10273.0
2021-05-18,13.0,13.0,13.0,13.0,18710.0
2021-05-19,13.0,13.0,13.0,13.0,6675.0
2021-05-20,13.0,13.0,13.0,13.0,26618.0
2021-05-21,13.0,13.0,13.0,13.0,144192.0
2021-05-24,13.0,13.0,13.0,13.0,144192.0
2021-05-25,13.0,13.0,13.0,13.0,52888.0
2021-05-26,13.0,13.0,13.0,13.0,35731.0
2021-05-27,13.0,13.0,13.0,13.0,43814.0
2021-05-28,13.0,13.0,13.0,13.0,1087589.0
2021-05-31,13.0,13.0,13.0,13.0,23798.0
2021-06-01,13.0,13.0,13.0,13.0,38137.0
2021-06-02,13.0,13.0,13.0,13.0,707534.0
2021-06-03,13.0,13.0,13.0,13.0,31768.0
2021-06-04,13.0,13.0,13.0,13.0,11967.0
2021-06-07,13.0,13.0,13.0,13.0,28859.0
2021-06-08,13.0,13.0,13.0,13.0,13660.0
2021-06-09,13.0,13.0,13.0,13.0,42250.0
2021-06-10,13.0,13.0,13.0,13.0,14000.0
2021-06-11,13.0,13.0,13.0,13.0,170.0
2021-06-14,13.0,13.0,13.0,13.0,35050.0
2021-06-15,13.0,13.0,13.0,13.0,8675.0
2021-06-16,13.0,13.0,13.0,13.0,112650.0
2021-06-17,13.0,13.0,13.0,13.0,5340.0
2021-06-18,13.0,13.0,13.0,13.0,2778.0
2021-06-21,13.0,13.0,13.0,13.0,104198.0
2021-06-22,13.0,13.0,13.0,13.0,21277.0
2021-06-23,13.0,13.0,13.0,13.0,1115.0
2021-06-24,13.0,13.0,13.0,13.0,1095.0
