date,open,high,low,close,volume
2021-04-07,1400.0,1400.0,1390.0,1390.0,727.0
2021-04-08,1390.0,1400.0,1390.0,1400.0,345.0
2021-04-09,1450.0,1450.0,1450.0,1450.0,25.0
2021-04-12,1400.0,1405.0,1400.0,1405.0,29.0
2021-04-13,1400.0,1450.0,1400.0,1450.0,148.0
2021-04-14,1400.0,1450.0,1400.0,1450.0,321.0
2021-04-15,1350.0,1450.0,1350.0,1450.0,440.0
2021-04-16,1350.0,1365.0,1350.0,1365.0,367.0
2021-04-19,1370.0,1450.0,1370.0,1450.0,696.0
2021-04-20,1450.0,1450.0,1450.0,1450.0,1962.0
2021-04-21,1450.0,1450.0,1450.0,1450.0,1026.0
2021-04-22,1490.0,1490.0,1460.0,1460.0,1104.0
2021-04-23,1555.0,1565.0,1555.0,1565.0,153796.0
2021-04-26,1680.0,1680.0,1680.0,1680.0,2433.0
2021-04-27,1805.0,1805.0,1805.0,1805.0,9138.0
2021-04-28,1890.0,1890.0,1885.0,1885.0,24414.0
2021-04-29,1750.0,1845.0,1750.0,1845.0,7560.0
2021-04-30,1850.0,1850.0,1840.0,1840.0,4438.0
2021-05-03,1830.0,1830.0,1820.0,1820.0,490.0
2021-05-04,1775.0,1820.0,1775.0,1820.0,3960.0
2021-05-05,1815.0,1815.0,1815.0,1815.0,9833.0
2021-05-06,1810.0,1810.0,1795.0,1795.0,1093.0
2021-05-07,1795.0,1795.0,1795.0,1795.0,150.0
2021-05-10,1715.0,1720.0,1715.0,1720.0,175.0
2021-05-11,1715.0,1770.0,1715.0,1770.0,741.0
2021-05-12,1715.0,1770.0,1715.0,1770.0,741.0
2021-05-14,1750.0,1800.0,1750.0,1800.0,4092.0
2021-05-17,1750.0,1800.0,1750.0,1800.0,4057.0
2021-05-18,1795.0,1825.0,1795.0,1825.0,6387.0
2021-05-19,1825.0,1825.0,1820.0,1820.0,260.0
2021-05-20,1815.0,1820.0,1815.0,1820.0,2434.0
2021-05-21,1810.0,1810.0,1800.0,1800.0,4025.0
2021-05-24,1810.0,1810.0,1800.0,1800.0,4025.0
2021-05-25,1790.0,1850.0,1790.0,1850.0,2284.0
2021-05-26,1830.0,1850.0,1830.0,1850.0,1087.0
2021-05-27,1850.0,1900.0,1850.0,1900.0,6612.0
2021-05-28,1860.0,1860.0,1855.0,1855.0,10008.0
2021-05-31,1950.0,1985.0,1950.0,1985.0,20651.0
2021-06-01,1980.0,2000.0,1980.0,2000.0,1480.0
2021-06-02,1995.0,1995.0,1990.0,1990.0,261.0
2021-06-03,1985.0,1995.0,1985.0,1995.0,5330.0
2021-06-04,1990.0,1990.0,1990.0,1990.0,427.0
2021-06-07,1900.0,1990.0,1900.0,1990.0,760.0
2021-06-08,1990.0,1990.0,1950.0,1950.0,597.0
2021-06-09,1970.0,2000.0,1970.0,2000.0,10553.0
2021-06-10,1900.0,2000.0,1900.0,2000.0,15330.0
2021-06-11,1950.0,2000.0,1950.0,2000.0,33.0
2021-06-14,1995.0,2000.0,1995.0,2000.0,848.0
2021-06-15,2000.0,2000.0,2000.0,2000.0,93.0
2021-06-16,1925.0,1990.0,1925.0,1990.0,1659.0
2021-06-17,1990.0,1990.0,1900.0,1900.0,510.0
2021-06-18,1900.0,1900.0,1900.0,1900.0,1043.0
2021-06-21,1850.0,1950.0,1850.0,1950.0,2413.0
2021-06-22,1940.0,1940.0,1940.0,1940.0,16.0
2021-06-23,1940.0,1970.0,1940.0,1970.0,1649.0
2021-06-24,1940.0,1965.0,1940.0,1965.0,100.0
2021-06-25,1965.0,1980.0,1965.0,1980.0,710.0
2021-06-28,1900.0,2000.0,1900.0,2000.0,9038.0
2021-06-29,1960.0,2020.0,1960.0,2020.0,12304.0
2021-06-30,2000.0,2090.0,2000.0,2090.0,2305.0
2021-07-01,2100.0,2100.0,2080.0,2080.0,2416.0
2021-07-02,2100.0,2100.0,2100.0,2100.0,4426.0
2021-07-05,2100.0,2100.0,2050.0,2050.0,2824.0
2021-07-06,2050.0,2050.0,2000.0,2000.0,426.0
