date,open,high,low,close,volume
2024-12-13,5025.0,5160.0,5025.0,5160.0,17049.0
2024-12-16,5160.0,5160.0,5150.0,5150.0,5894.0
2024-12-17,5100.0,5100.0,5100.0,5100.0,45527.0
2024-12-18,5095.0,5100.0,5095.0,5100.0,8151.0
2024-12-19,4900.0,4900.0,4895.0,4895.0,11051.0
2024-12-20,4800.0,5000.0,4800.0,5000.0,8589.0
2024-12-23,4900.0,5000.0,4900.0,5000.0,4447.0
2024-12-24,4985.0,4985.0,4985.0,4985.0,507.0
2024-12-25,4995.0,4995.0,4985.0,4985.0,507.0
2024-12-26,4950.0,4950.0,4950.0,4950.0,1007.0
2024-12-27,4950.0,4950.0,4950.0,4950.0,516.0
2024-12-30,4950.0,4950.0,4900.0,4900.0,493.0
2024-12-31,4800.0,4800.0,4730.0,4730.0,203.0
2025-01-01,4800.0,4800.0,4730.0,4730.0,203.0
2025-01-02,4750.0,4750.0,4750.0,4750.0,2657.0
2025-01-03,4700.0,4845.0,4700.0,4845.0,935.0
2025-01-06,4800.0,4845.0,4800.0,4845.0,206.0
2025-01-07,4830.0,4845.0,4830.0,4845.0,1422.0
2025-01-08,4835.0,4845.0,4835.0,4845.0,3505.0
2025-01-09,4845.0,4845.0,4825.0,4825.0,511.0
2025-01-10,4845.0,4845.0,4845.0,4845.0,665.0
2025-01-13,4845.0,4845.0,4845.0,4845.0,250.0
2025-01-14,4715.0,4845.0,4715.0,4845.0,1135.0
2025-01-15,4845.0,4845.0,4845.0,4845.0,435.0
2025-01-16,4800.0,4840.0,4800.0,4840.0,1912.0
2025-01-17,4840.0,4850.0,4840.0,4850.0,1783.0
2025-01-20,4800.0,4850.0,4800.0,4850.0,552.0
2025-01-21,4845.0,4850.0,4845.0,4850.0,3857.0
2025-01-22,4850.0,4875.0,4850.0,4875.0,4849.0
2025-01-23,4870.0,4875.0,4870.0,4875.0,3706.0
2025-01-24,4860.0,4875.0,4860.0,4875.0,7614.0
2025-01-27,4800.0,4875.0,4800.0,4875.0,192.0
2025-01-28,4800.0,4875.0,4800.0,4875.0,1656.0
2025-01-29,4850.0,4875.0,4850.0,4875.0,678.0
2025-01-30,4875.0,4875.0,4875.0,4875.0,1023.0
2025-01-31,4875.0,5000.0,4875.0,5000.0,11509.0
2025-02-03,4995.0,4995.0,4995.0,4995.0,311.0
2025-02-04,4730.0,4990.0,4730.0,4990.0,1574.0
2025-02-05,4990.0,5000.0,4990.0,5000.0,651.0
2025-02-06,4995.0,5000.0,4995.0,5000.0,305.0
2025-02-07,4995.0,5000.0,4995.0,5000.0,496.0
2025-02-10,4900.0,4995.0,4900.0,4995.0,686.0
2025-02-11,4995.0,4995.0,4995.0,4995.0,647.0
2025-02-12,4995.0,4995.0,4985.0,4985.0,2078.0
2025-02-13,4985.0,4995.0,4985.0,4995.0,2826.0
2025-02-14,4990.0,4995.0,4990.0,4995.0,285.0
2025-02-17,4995.0,4995.0,4900.0,4900.0,87.0
2025-02-18,4900.0,4900.0,4850.0,4850.0,287.0
2025-02-19,4845.0,4850.0,4845.0,4850.0,363.0
2025-02-20,4850.0,4850.0,4850.0,4850.0,1203.0
2025-02-21,4845.0,4850.0,4845.0,4850.0,1981.0
2025-02-24,4800.0,4900.0,4800.0,4900.0,1922.0
2025-02-25,4885.0,4900.0,4885.0,4900.0,425.0
2025-02-26,4900.0,4900.0,4900.0,4900.0,1472.0
2025-02-28,4890.0,5000.0,4890.0,5000.0,7928.0
2025-03-03,5000.0,5000.0,4995.0,4995.0,100.0
2025-03-04,4945.0,4945.0,4930.0,4930.0,459.0
2025-03-05,4930.0,4930.0,4845.0,4845.0,146.0
2025-03-06,4845.0,4845.0,4845.0,4845.0,462.0
2025-03-07,4845.0,4930.0,4845.0,4930.0,7202.0
2025-03-10,4840.0,4840.0,4840.0,4840.0,444.0
2025-03-11,4840.0,4850.0,4840.0,4850.0,502.0
2025-03-12,4800.0,4830.0,4800.0,4830.0,160.0
2025-03-13,4800.0,4850.0,4800.0,4850.0,1506.0
2025-03-14,4845.0,4845.0,4720.0,4720.0,3628.0
2025-03-17,4800.0,4845.0,4800.0,4845.0,1061.0
2025-03-18,4845.0,4845.0,4830.0,4830.0,1140.0
2025-03-19,4830.0,4830.0,4830.0,4830.0,69.0
2025-03-20,4790.0,4825.0,4790.0,4825.0,145.0
2025-03-21,4825.0,4825.0,4825.0,4825.0,95.0
2025-03-24,4820.0,4820.0,4820.0,4820.0,523.0
2025-03-25,4820.0,4820.0,4730.0,4730.0,36.0
2025-03-26,4730.0,4845.0,4730.0,4845.0,5260.0
2025-03-27,4730.0,4845.0,4730.0,4845.0,5260.0
2025-03-28,4810.0,4950.0,4810.0,4950.0,10504.0
2025-03-31,4810.0,4950.0,4810.0,4950.0,10504.0
2025-04-01,4900.0,4900.0,4820.0,4820.0,112.0
2025-04-02,4505.0,4790.0,4505.0,4790.0,597.0
2025-04-03,4790.0,4800.0,4790.0,4800.0,2182.0
2025-04-04,4800.0,4800.0,4800.0,4800.0,5747.0
2025-04-07,4800.0,4800.0,4800.0,4800.0,103.0
2025-04-08,4995.0,4995.0,4845.0,4845.0,8053.0
2025-04-09,4800.0,4800.0,4750.0,4750.0,157.0
2025-04-10,4750.0,4800.0,4750.0,4800.0,8436.0
2025-04-11,4800.0,4805.0,4800.0,4805.0,4916.0
2025-04-14,4805.0,4805.0,4805.0,4805.0,2639.0
2025-04-15,4800.0,4850.0,4800.0,4850.0,94.0
2025-04-16,4800.0,4800.0,4800.0,4800.0,27875.0
2025-04-17,4800.0,4800.0,4800.0,4800.0,46.0
2025-04-18,4800.0,4800.0,4700.0,4700.0,152.0
2025-04-21,4800.0,4800.0,4700.0,4700.0,152.0
2025-04-22,4710.0,4800.0,4710.0,4800.0,171.0
2025-04-23,4700.0,4800.0,4700.0,4800.0,102.0
2025-04-24,4795.0,4800.0,4795.0,4800.0,199.0
2025-04-25,4800.0,4800.0,4800.0,4800.0,14306.0
2025-04-28,4800.0,4820.0,4800.0,4820.0,5080.0
2025-04-29,4810.0,4810.0,4810.0,4810.0,197.0
2025-04-30,4800.0,4800.0,4800.0,4800.0,100.0
2025-05-01,4800.0,4800.0,4800.0,4800.0,100.0
2025-05-02,4710.0,4800.0,4710.0,4800.0,320.0
2025-05-05,4800.0,4800.0,4800.0,4800.0,387.0
2025-05-06,4800.0,4800.0,4800.0,4800.0,214.0
2025-05-07,4790.0,4790.0,4790.0,4790.0,194.0
2025-05-08,4700.0,4790.0,4700.0,4790.0,307.0
2025-05-09,4790.0,4800.0,4790.0,4800.0,525.0
2025-05-12,4750.0,4800.0,4750.0,4800.0,3719.0
2025-05-13,4605.0,4790.0,4605.0,4790.0,120.0
2025-05-14,4605.0,4800.0,4605.0,4800.0,178.0
2025-05-15,4795.0,4800.0,4795.0,4800.0,140.0
2025-05-16,4800.0,4800.0,4800.0,4800.0,46.0
2025-05-19,4795.0,4800.0,4795.0,4800.0,830.0
2025-05-20,4790.0,4790.0,4790.0,4790.0,350.0
2025-05-21,4785.0,4790.0,4785.0,4790.0,1076.0
2025-05-22,4790.0,4790.0,4740.0,4740.0,201.0
2025-05-23,4740.0,4740.0,4740.0,4740.0,208.0
2025-05-26,4740.0,4740.0,4700.0,4700.0,702.0
2025-05-27,4700.0,4700.0,4700.0,4700.0,891.0
2025-05-28,4695.0,4695.0,4695.0,4695.0,327.0
2025-05-29,4695.0,4695.0,4695.0,4695.0,327.0
2025-05-30,4695.0,4800.0,4695.0,4800.0,5078.0
2025-06-02,4500.0,4800.0,4500.0,4800.0,3644.0
2025-06-03,4440.0,4790.0,4440.0,4790.0,4344.0
2025-06-04,4435.0,4790.0,4435.0,4790.0,785.0
2025-06-05,4780.0,4800.0,4780.0,4800.0,5676.0
2025-06-10,4775.0,4800.0,4775.0,4800.0,7619.0
