date,open,high,low,close,volume
2021-04-07,3600.0,3800.0,3600.0,3800.0,179.0
2021-04-08,3795.0,3795.0,3750.0,3750.0,1149.0
2021-04-09,3705.0,3750.0,3705.0,3750.0,373.0
2021-04-12,3650.0,3750.0,3650.0,3750.0,157.0
2021-04-13,3750.0,3750.0,3750.0,3750.0,244.0
2021-04-14,3800.0,3800.0,3655.0,3655.0,300.0
2021-04-15,3700.0,3700.0,3655.0,3655.0,15.0
2021-04-16,3655.0,3700.0,3655.0,3700.0,4028.0
2021-04-19,3750.0,3750.0,3750.0,3750.0,167.0
2021-04-20,3800.0,3800.0,3620.0,3620.0,95.0
2021-04-21,3800.0,3800.0,3615.0,3615.0,637.0
2021-04-22,3615.0,3850.0,3615.0,3850.0,163.0
2021-04-23,3700.0,3700.0,3605.0,3605.0,152.0
2021-04-26,3850.0,3850.0,3800.0,3800.0,131.0
2021-04-27,3800.0,3800.0,3635.0,3635.0,496.0
2021-04-28,3800.0,3800.0,3800.0,3800.0,100.0
2021-04-29,3800.0,3995.0,3800.0,3995.0,587.0
2021-04-30,3900.0,3995.0,3900.0,3995.0,7117.0
2021-05-03,3995.0,4150.0,3995.0,4150.0,4426.0
2021-05-04,4195.0,4195.0,4150.0,4150.0,321.0
2021-05-05,4150.0,4150.0,4150.0,4150.0,2.0
2021-05-06,4100.0,4200.0,4100.0,4200.0,2100.0
2021-05-07,4200.0,4200.0,4195.0,4195.0,991.0
2021-05-10,4000.0,4000.0,3885.0,3885.0,3840.0
2021-05-11,3700.0,3885.0,3700.0,3885.0,702.0
2021-05-12,3700.0,3885.0,3700.0,3885.0,702.0
2021-05-14,3705.0,3800.0,3705.0,3800.0,147.0
2021-05-17,3800.0,3885.0,3800.0,3885.0,1145.0
2021-05-18,3805.0,3805.0,3800.0,3800.0,648.0
2021-05-19,3805.0,4085.0,3805.0,4085.0,52.0
2021-05-20,3900.0,3900.0,3820.0,3820.0,139.0
2021-05-21,3815.0,3850.0,3815.0,3850.0,138.0
2021-05-24,3815.0,3850.0,3815.0,3850.0,138.0
2021-05-25,3855.0,3855.0,3855.0,3855.0,15.0
2021-05-26,3860.0,4140.0,3860.0,4140.0,1361.0
2021-05-27,4200.0,4305.0,4200.0,4305.0,1648.0
2021-05-28,4350.0,4350.0,4350.0,4350.0,605.0
2021-05-31,4350.0,4450.0,4350.0,4450.0,339.0
2021-06-01,4500.0,4700.0,4500.0,4700.0,579.0
2021-06-02,4500.0,4510.0,4500.0,4510.0,651.0
2021-06-03,4550.0,4700.0,4550.0,4700.0,30154.0
2021-06-04,4650.0,4800.0,4650.0,4800.0,89.0
2021-06-07,4900.0,4900.0,4900.0,4900.0,35.0
2021-06-08,4810.0,4810.0,4800.0,4800.0,84.0
2021-06-09,4900.0,4980.0,4900.0,4980.0,13229.0
2021-06-10,4900.0,4980.0,4900.0,4980.0,698.0
2021-06-11,4900.0,4980.0,4900.0,4980.0,230.0
