date,open,high,low,close,volume
2021-04-07,610.0,610.0,595.0,595.0,1020.0
2021-04-12,590.0,590.0,580.0,580.0,10.0
2021-04-13,550.0,550.0,550.0,550.0,200.0
2021-04-14,590.0,590.0,590.0,590.0,1.0
2021-04-15,590.0,590.0,590.0,590.0,101.0
2021-04-16,590.0,590.0,590.0,590.0,30.0
2021-04-20,590.0,590.0,585.0,585.0,221.0
2021-04-21,625.0,625.0,625.0,625.0,1966.0
2021-04-22,670.0,670.0,670.0,670.0,375.0
2021-04-23,720.0,720.0,720.0,720.0,1313.0
2021-04-26,770.0,770.0,770.0,770.0,160.0
2021-04-27,825.0,825.0,825.0,825.0,182.0
2021-04-28,885.0,885.0,885.0,885.0,30.0
2021-04-29,950.0,950.0,950.0,950.0,200.0
2021-04-30,1020.0,1020.0,1020.0,1020.0,498.0
2021-05-03,1095.0,1095.0,1095.0,1095.0,100.0
2021-05-04,1175.0,1175.0,1175.0,1175.0,95.0
2021-05-05,1260.0,1260.0,1260.0,1260.0,84.0
2021-05-06,1350.0,1350.0,1350.0,1350.0,319.0
2021-05-07,1450.0,1450.0,1450.0,1450.0,440.0
2021-05-10,1555.0,1555.0,1555.0,1555.0,308.0
2021-05-11,1670.0,1670.0,1670.0,1670.0,25.0
2021-05-12,1670.0,1670.0,1670.0,1670.0,25.0
2021-05-14,1795.0,1795.0,1795.0,1795.0,15.0
2021-05-17,1925.0,1925.0,1925.0,1925.0,175.0
2021-05-18,2065.0,2065.0,2065.0,2065.0,135.0
2021-05-19,2215.0,2215.0,2215.0,2215.0,8714.0
2021-05-20,2380.0,2380.0,2380.0,2380.0,590.0
2021-05-21,2555.0,2555.0,2555.0,2555.0,490.0
2021-05-24,2555.0,2555.0,2555.0,2555.0,490.0
2021-05-25,2745.0,2745.0,2745.0,2745.0,274.0
2021-05-26,2950.0,2950.0,2950.0,2950.0,2059.0
2021-05-27,3090.0,3170.0,3090.0,3170.0,5431.0
2021-05-28,2955.0,3395.0,2955.0,3395.0,3494.0
2021-05-31,3400.0,3400.0,3400.0,3400.0,2543.0
2021-06-01,3390.0,3390.0,3250.0,3250.0,1437.0
2021-06-02,3250.0,3300.0,3250.0,3300.0,2091.0
2021-06-03,3300.0,3300.0,3100.0,3100.0,1911.0
2021-06-04,3110.0,3110.0,3100.0,3100.0,963.0
2021-06-07,3200.0,3200.0,3000.0,3000.0,3908.0
2021-06-08,3010.0,3025.0,3010.0,3025.0,103.0
2021-06-09,3115.0,3250.0,3115.0,3250.0,203.0
2021-06-10,3100.0,3250.0,3100.0,3250.0,2588.0
2021-06-11,3380.0,3400.0,3380.0,3400.0,1868.0
2021-06-14,3400.0,3400.0,3390.0,3390.0,117.0
2021-06-15,3255.0,3255.0,3255.0,3255.0,533.0
2021-06-16,3380.0,3390.0,3380.0,3390.0,170.0
2021-06-17,3400.0,3400.0,3395.0,3395.0,469.0
2021-06-18,3390.0,3390.0,3390.0,3390.0,103.0
2021-06-21,3395.0,3395.0,3395.0,3395.0,366.0
2021-06-22,3395.0,3395.0,3395.0,3395.0,155.0
2021-06-23,3395.0,3395.0,3395.0,3395.0,100.0
2021-06-24,3400.0,3580.0,3400.0,3580.0,51.0
2021-06-25,3585.0,3585.0,3585.0,3585.0,42.0
2021-06-28,3585.0,3585.0,3585.0,3585.0,82.0
2021-06-29,3585.0,3600.0,3585.0,3600.0,218.0
2021-06-30,3600.0,3600.0,3600.0,3600.0,15465.0
2021-07-01,3600.0,3600.0,3600.0,3600.0,1600.0
2021-07-02,3500.0,3500.0,3500.0,3500.0,73.0
2021-07-05,3500.0,3500.0,3500.0,3500.0,921.0
2021-07-06,3400.0,3400.0,3400.0,3400.0,3610.0
2021-07-07,3200.0,3400.0,3200.0,3400.0,506.0
2021-07-08,3400.0,3400.0,3345.0,3345.0,4298.0
2021-07-09,3345.0,3545.0,3345.0,3545.0,203.0
2021-07-12,3545.0,3545.0,3540.0,3540.0,457.0
2021-07-13,3540.0,3600.0,3540.0,3600.0,156.0
2021-07-14,3545.0,3600.0,3545.0,3600.0,217.0
2021-07-15,3695.0,3695.0,3695.0,3695.0,41.0
2021-07-16,3700.0,3700.0,3695.0,3695.0,190.0
2021-07-19,3695.0,3970.0,3695.0,3970.0,576.0
2021-07-20,3695.0,3970.0,3695.0,3970.0,576.0
2021-07-21,3970.0,4265.0,3970.0,4265.0,868.0
2021-07-22,4260.0,4260.0,4200.0,4200.0,1742.0
2021-07-23,4200.0,4200.0,4000.0,4000.0,362.0
2021-07-26,4000.0,4000.0,3765.0,3765.0,2490.0
2021-07-27,3785.0,3795.0,3785.0,3795.0,3388.0
2021-07-28,3690.0,3690.0,3690.0,3690.0,76.0
2021-07-29,3690.0,3690.0,3690.0,3690.0,46.0
2021-07-30,3695.0,3695.0,3695.0,3695.0,296.0
2021-08-02,3695.0,3695.0,3690.0,3690.0,264.0
2021-08-03,3685.0,3685.0,3675.0,3675.0,1238.0
2021-08-04,3680.0,3680.0,3675.0,3675.0,341.0
2021-08-05,3685.0,3685.0,3675.0,3675.0,472.0
2021-08-06,3675.0,3690.0,3675.0,3690.0,105.0
2021-08-09,3690.0,3690.0,3675.0,3675.0,155.0
2021-08-10,3650.0,3675.0,3650.0,3675.0,65.0
2021-08-11,3410.0,3640.0,3410.0,3640.0,2299.0
2021-08-12,3650.0,3650.0,3650.0,3650.0,395.0
2021-08-13,3675.0,3700.0,3675.0,3700.0,1141.0
2021-08-16,3900.0,3900.0,3700.0,3700.0,90.0
2021-08-17,3900.0,3900.0,3900.0,3900.0,70.0
2021-08-18,3900.0,3900.0,3900.0,3900.0,30.0
2021-08-19,3900.0,3900.0,3900.0,3900.0,83.0
2021-08-20,3820.0,3820.0,3820.0,3820.0,2.0
2021-08-23,3820.0,3820.0,3820.0,3820.0,217.0
2021-08-24,3900.0,3900.0,3850.0,3850.0,333.0
2021-08-25,3900.0,3900.0,3850.0,3850.0,856.0
2021-08-26,4000.0,4000.0,3825.0,3825.0,988.0
2021-08-27,4000.0,4000.0,3900.0,3900.0,447.0
2021-08-30,3850.0,3890.0,3850.0,3890.0,470.0
2021-08-31,3900.0,3900.0,3900.0,3900.0,345.0
2021-09-01,3910.0,3910.0,3900.0,3900.0,1277.0
2021-09-02,3890.0,3890.0,3885.0,3885.0,1515.0
2021-09-03,3885.0,3885.0,3885.0,3885.0,53.0
2021-09-06,3900.0,3900.0,3885.0,3885.0,1040.0
2021-09-07,3900.0,3950.0,3900.0,3950.0,1613.0
2021-09-08,3950.0,3950.0,3950.0,3950.0,350.0
2021-09-10,3950.0,3950.0,3900.0,3900.0,55.0
2021-09-13,3950.0,3950.0,3900.0,3900.0,55.0
2021-09-14,3945.0,3945.0,3900.0,3900.0,473.0
2021-09-15,3905.0,3905.0,3905.0,3905.0,6.0
2021-09-16,3910.0,3920.0,3910.0,3920.0,225.0
2021-09-17,3910.0,3910.0,3900.0,3900.0,560.0
2021-09-20,3900.0,3910.0,3900.0,3910.0,406.0
2021-09-21,3900.0,3910.0,3900.0,3910.0,6489.0
2021-09-22,3910.0,3910.0,3905.0,3905.0,610.0
2021-09-23,3910.0,3910.0,3900.0,3900.0,64668.0
2021-09-24,3905.0,3905.0,3890.0,3890.0,531.0
2021-09-27,3900.0,3900.0,3840.0,3840.0,46706.0
2021-09-28,3840.0,3890.0,3840.0,3890.0,785.0
2021-09-29,3840.0,3840.0,3800.0,3800.0,58400.0
2021-09-30,3800.0,3800.0,3700.0,3700.0,115350.0
2021-10-01,3705.0,3900.0,3705.0,3900.0,17883.0
2021-10-04,3900.0,3900.0,3900.0,3900.0,8894.0
2021-10-05,3900.0,3900.0,3895.0,3895.0,115.0
2021-10-06,3900.0,3950.0,3900.0,3950.0,100.0
2021-10-07,3940.0,3940.0,3895.0,3895.0,39.0
2021-10-08,3915.0,3915.0,3910.0,3910.0,606.0
2021-10-11,3930.0,3930.0,3900.0,3900.0,46455.0
2021-10-12,3900.0,3905.0,3900.0,3905.0,1210.0
2021-10-13,3935.0,3935.0,3910.0,3910.0,62.0
2021-10-14,3910.0,3940.0,3910.0,3940.0,171.0
2021-10-15,3940.0,4000.0,3940.0,4000.0,281.0
2021-10-18,3940.0,4000.0,3940.0,4000.0,281.0
2021-10-19,4000.0,4190.0,4000.0,4190.0,292.0
