date,open,high,low,close,volume
2021-04-07,3585.0,3890.0,3585.0,3890.0,1080.0
2021-04-08,3890.0,3890.0,3890.0,3890.0,11.0
2021-04-12,3885.0,3890.0,3885.0,3890.0,21.0
2021-04-14,3600.0,3830.0,3600.0,3830.0,1205.0
2021-04-15,3615.0,3800.0,3615.0,3800.0,117.0
2021-04-16,3605.0,3615.0,3605.0,3615.0,205.0
2021-04-19,3610.0,3610.0,3600.0,3600.0,30.0
2021-04-20,3800.0,3850.0,3800.0,3850.0,335.0
2021-04-21,3600.0,3890.0,3600.0,3890.0,299.0
2021-04-22,3605.0,4000.0,3605.0,4000.0,3305.0
2021-04-23,3700.0,4000.0,3700.0,4000.0,120.0
2021-04-26,3700.0,4000.0,3700.0,4000.0,540.0
2021-04-27,4000.0,4000.0,4000.0,4000.0,496.0
2021-04-28,3950.0,4080.0,3950.0,4080.0,2459.0
2021-04-29,3800.0,4075.0,3800.0,4075.0,57.0
2021-04-30,4095.0,4095.0,4095.0,4095.0,100.0
2021-05-03,3790.0,4095.0,3790.0,4095.0,4105.0
2021-05-04,3790.0,4080.0,3790.0,4080.0,323.0
2021-05-05,4070.0,4070.0,4070.0,4070.0,10.0
2021-05-06,4000.0,4000.0,3765.0,3765.0,20.0
2021-05-07,4000.0,4000.0,4000.0,4000.0,90.0
2021-05-10,3700.0,3700.0,3700.0,3700.0,2067.0
2021-05-11,3700.0,3700.0,3700.0,3700.0,3083.0
2021-05-12,3700.0,3700.0,3700.0,3700.0,3083.0
2021-05-14,3895.0,3895.0,3895.0,3895.0,50.0
2021-05-17,3800.0,3800.0,3800.0,3800.0,1.0
2021-05-18,3705.0,4000.0,3705.0,4000.0,263.0
2021-05-19,3715.0,3715.0,3710.0,3710.0,181.0
2021-05-20,3975.0,3975.0,3975.0,3975.0,20.0
2021-05-21,3910.0,3910.0,3710.0,3710.0,1360.0
2021-05-24,3910.0,3910.0,3710.0,3710.0,1360.0
2021-05-25,3700.0,3880.0,3700.0,3880.0,447.0
2021-05-26,3900.0,4000.0,3900.0,4000.0,510.0
2021-05-27,4000.0,4000.0,4000.0,4000.0,10.0
2021-05-28,3950.0,3950.0,3750.0,3750.0,160.0
2021-05-31,4000.0,4030.0,4000.0,4030.0,26939.0
2021-06-01,3750.0,3995.0,3750.0,3995.0,140.0
2021-06-02,3775.0,3980.0,3775.0,3980.0,135.0
2021-06-04,3900.0,3900.0,3900.0,3900.0,10.0
2021-06-07,3880.0,3945.0,3880.0,3945.0,282.0
2021-06-08,3750.0,3945.0,3750.0,3945.0,271.0
2021-06-09,3750.0,3940.0,3750.0,3940.0,272.0
2021-06-10,3935.0,3935.0,3935.0,3935.0,10.0
2021-06-11,3930.0,3930.0,3930.0,3930.0,10.0
2021-06-14,3900.0,3990.0,3900.0,3990.0,656.0
2021-06-15,3950.0,3950.0,3950.0,3950.0,22.0
2021-06-16,3750.0,3950.0,3750.0,3950.0,21.0
2021-06-17,3705.0,3940.0,3705.0,3940.0,3287.0
2021-06-18,3705.0,3930.0,3705.0,3930.0,435.0
2021-06-21,3900.0,3900.0,3900.0,3900.0,10.0
2021-06-22,3700.0,3900.0,3700.0,3900.0,117.0
2021-06-23,3900.0,3985.0,3900.0,3985.0,628.0
2021-06-24,3980.0,3980.0,3980.0,3980.0,13.0
2021-06-25,3950.0,3990.0,3950.0,3990.0,610.0
2021-06-29,3990.0,3990.0,3990.0,3990.0,10.0
