date,open,high,low,close,volume
2021-04-07,3000.0,3000.0,3000.0,3000.0,114.0
2021-04-08,3000.0,3200.0,3000.0,3200.0,220.0
2021-04-12,3000.0,3000.0,3000.0,3000.0,30.0
2021-04-13,3100.0,3105.0,3100.0,3105.0,90.0
2021-04-14,3000.0,3140.0,3000.0,3140.0,46.0
2021-04-15,3140.0,3140.0,3140.0,3140.0,21.0
2021-04-16,3200.0,3200.0,3200.0,3200.0,6.0
2021-04-19,3200.0,3200.0,3200.0,3200.0,71.0
2021-04-20,3200.0,3200.0,3200.0,3200.0,462.0
2021-04-21,3200.0,3350.0,3200.0,3350.0,184.0
2021-04-22,3350.0,3400.0,3350.0,3400.0,293.0
2021-04-23,3400.0,3600.0,3400.0,3600.0,108.0
2021-04-26,3605.0,3870.0,3605.0,3870.0,201.0
2021-04-27,4000.0,4000.0,3875.0,3875.0,1677.0
2021-04-28,3800.0,3800.0,3800.0,3800.0,855.0
2021-04-29,3995.0,4050.0,3995.0,4050.0,456.0
2021-04-30,4050.0,4050.0,4050.0,4050.0,457.0
2021-05-03,4350.0,4350.0,4350.0,4350.0,1401.0
2021-05-04,4675.0,4675.0,4675.0,4675.0,124.0
2021-05-05,4410.0,4410.0,4395.0,4395.0,889.0
2021-05-06,4070.0,4070.0,4070.0,4070.0,4426.0
2021-05-07,3765.0,3765.0,3765.0,3765.0,1584.0
2021-05-10,3485.0,3485.0,3485.0,3485.0,516.0
2021-05-11,3225.0,3225.0,3225.0,3225.0,982.0
2021-05-12,3225.0,3225.0,3225.0,3225.0,982.0
2021-05-14,3400.0,3465.0,3400.0,3465.0,126.0
2021-05-17,3505.0,3535.0,3505.0,3535.0,104.0
2021-05-18,3750.0,3800.0,3750.0,3800.0,12.0
2021-05-19,4070.0,4070.0,4070.0,4070.0,2014.0
2021-05-20,3970.0,4100.0,3970.0,4100.0,1362.0
2021-05-21,4150.0,4350.0,4150.0,4350.0,91.0
2021-05-24,4150.0,4350.0,4150.0,4350.0,91.0
2021-05-25,4100.0,4100.0,4100.0,4100.0,253.0
2021-05-26,4010.0,4010.0,3925.0,3925.0,1647.0
2021-05-27,3925.0,3925.0,3920.0,3920.0,803.0
2021-05-28,3950.0,4000.0,3950.0,4000.0,719.0
2021-05-31,3950.0,4000.0,3950.0,4000.0,258.0
2021-06-01,3990.0,3990.0,3990.0,3990.0,56.0
2021-06-02,3980.0,3990.0,3980.0,3990.0,407.0
2021-06-03,3990.0,4000.0,3990.0,4000.0,49.0
2021-06-04,3990.0,4000.0,3990.0,4000.0,520.0
2021-06-07,4000.0,4000.0,4000.0,4000.0,326.0
2021-06-08,4000.0,4000.0,4000.0,4000.0,46.0
2021-06-09,4000.0,4100.0,4000.0,4100.0,501.0
2021-06-10,4230.0,4230.0,4200.0,4200.0,229.0
2021-06-11,4230.0,4295.0,4230.0,4295.0,1141.0
2021-06-14,4250.0,4390.0,4250.0,4390.0,55.0
2021-06-15,4385.0,4385.0,4215.0,4215.0,20.0
2021-06-16,4300.0,4300.0,4300.0,4300.0,140.0
2021-06-17,4350.0,4375.0,4350.0,4375.0,30.0
2021-06-18,4370.0,4370.0,4260.0,4260.0,162.0
2021-06-21,4370.0,4370.0,4365.0,4365.0,407.0
2021-06-22,4350.0,4375.0,4350.0,4375.0,192.0
2021-06-23,4355.0,4380.0,4355.0,4380.0,138.0
2021-06-24,4350.0,4350.0,4350.0,4350.0,45.0
2021-06-25,4395.0,4395.0,4395.0,4395.0,1.0
2021-06-28,4200.0,4350.0,4200.0,4350.0,47.0
2021-06-29,4300.0,4350.0,4300.0,4350.0,28.0
2021-07-01,4350.0,4410.0,4350.0,4410.0,280.0
2021-07-02,4300.0,4300.0,4255.0,4255.0,655.0
2021-07-05,4280.0,4280.0,4215.0,4215.0,47.0
2021-07-06,4210.0,4215.0,4210.0,4215.0,30.0
2021-07-07,4255.0,4300.0,4255.0,4300.0,121.0
2021-07-08,4255.0,4300.0,4255.0,4300.0,279.0
2021-07-09,4300.0,4300.0,4300.0,4300.0,4.0
2021-07-12,4300.0,4300.0,4210.0,4210.0,35.0
2021-07-13,4210.0,4295.0,4210.0,4295.0,36.0
2021-07-14,4290.0,4290.0,4250.0,4250.0,225.0
2021-07-15,4250.0,4250.0,4250.0,4250.0,913.0
2021-07-16,4290.0,4300.0,4290.0,4300.0,304.0
2021-07-19,4350.0,4350.0,4310.0,4310.0,240.0
2021-07-20,4350.0,4350.0,4310.0,4310.0,240.0
2021-07-21,4355.0,4410.0,4355.0,4410.0,559.0
2021-07-22,4355.0,4400.0,4355.0,4400.0,103.0
2021-07-23,4100.0,4400.0,4100.0,4400.0,170.0
2021-07-26,4395.0,4395.0,4395.0,4395.0,47.0
2021-07-27,4395.0,4395.0,4395.0,4395.0,265.0
2021-07-29,4395.0,4400.0,4395.0,4400.0,1011.0
2021-07-30,4315.0,4395.0,4315.0,4395.0,17.0
2021-08-02,4110.0,4395.0,4110.0,4395.0,5.0
2021-08-03,4310.0,4310.0,4300.0,4300.0,87.0
2021-08-04,4300.0,4300.0,4205.0,4205.0,373.0
2021-08-05,4240.0,4240.0,4240.0,4240.0,2.0
2021-08-06,4240.0,4245.0,4240.0,4245.0,101.0
2021-08-09,4245.0,4245.0,4155.0,4155.0,1529.0
2021-08-10,4105.0,4155.0,4105.0,4155.0,125.0
2021-08-11,4155.0,4155.0,4100.0,4100.0,1138.0
2021-08-12,4100.0,4100.0,4100.0,4100.0,6.0
2021-08-13,4350.0,4350.0,4350.0,4350.0,4.0
2021-08-16,4350.0,4350.0,4350.0,4350.0,210.0
2021-08-17,4400.0,4400.0,4370.0,4370.0,49.0
2021-08-18,4370.0,4370.0,4370.0,4370.0,89.0
2021-08-19,4350.0,4400.0,4350.0,4400.0,201.0
2021-08-20,4400.0,4400.0,4400.0,4400.0,234.0
2021-08-23,4400.0,4400.0,4355.0,4355.0,647.0
2021-08-24,4395.0,4400.0,4395.0,4400.0,2530.0
2021-08-25,4620.0,4620.0,4015.0,4015.0,2492.0
2021-08-26,4205.0,4315.0,4205.0,4315.0,1266.0
2021-08-27,4355.0,4635.0,4355.0,4635.0,53.0
2021-08-30,4720.0,4980.0,4720.0,4980.0,295.0
2021-08-31,5345.0,5345.0,5290.0,5290.0,848.0
2021-09-01,5235.0,5235.0,5230.0,5230.0,55.0
2021-09-02,5225.0,5225.0,5190.0,5190.0,14.0
2021-09-03,5000.0,5000.0,5000.0,5000.0,405.0
2021-09-06,4995.0,4995.0,4635.0,4635.0,139.0
2021-09-07,4635.0,4635.0,4320.0,4320.0,708.0
2021-09-08,4350.0,4360.0,4350.0,4360.0,425.0
2021-09-09,4600.0,4600.0,4380.0,4380.0,183.0
2021-09-10,4400.0,4405.0,4400.0,4405.0,27.0
2021-09-13,4410.0,4735.0,4410.0,4735.0,2.0
2021-09-14,4800.0,4800.0,4730.0,4730.0,1179.0
2021-09-15,4995.0,4995.0,4995.0,4995.0,21.0
2021-09-16,4900.0,4900.0,4900.0,4900.0,141.0
2021-09-17,4900.0,4900.0,4900.0,4900.0,51.0
2021-09-20,4900.0,4900.0,4825.0,4825.0,1886.0
2021-09-21,4995.0,4995.0,4850.0,4850.0,616.0
2021-09-22,4875.0,4900.0,4875.0,4900.0,188.0
2021-09-23,5265.0,5265.0,5265.0,5265.0,15500.0
2021-09-24,5655.0,5655.0,5655.0,5655.0,10815.0
2021-09-27,6000.0,6000.0,6000.0,6000.0,2152.0
2021-09-28,6000.0,6000.0,5800.0,5800.0,1041.0
2021-09-29,5800.0,5800.0,5800.0,5800.0,1332.0
2021-09-30,5685.0,5685.0,5370.0,5370.0,1607.0
2021-10-01,5770.0,5770.0,5500.0,5500.0,329.0
2021-10-04,5795.0,5910.0,5795.0,5910.0,96.0
2021-10-05,5605.0,5795.0,5605.0,5795.0,330.0
2021-10-06,6000.0,6225.0,6000.0,6225.0,3020.0
2021-10-07,6200.0,6200.0,6200.0,6200.0,309.0
