date,open,high,low,close,volume
2021-04-08,2100.0,2100.0,2095.0,2095.0,7.0
2021-04-09,2050.0,2100.0,2050.0,2100.0,645.0
2021-04-14,2100.0,2100.0,2100.0,2100.0,72.0
2021-04-15,2100.0,2100.0,2100.0,2100.0,1640.0
2021-04-19,2100.0,2105.0,2100.0,2105.0,384.0
2021-04-20,2180.0,2180.0,2180.0,2180.0,146.0
2021-04-21,2180.0,2180.0,2180.0,2180.0,23.0
2021-04-22,2180.0,2180.0,2020.0,2020.0,4735.0
2021-04-23,1870.0,2020.0,1870.0,2020.0,1725.0
2021-04-27,2140.0,2140.0,2140.0,2140.0,5.0
2021-04-28,2140.0,2140.0,2140.0,2140.0,60.0
2021-04-29,2180.0,2180.0,2180.0,2180.0,60.0
2021-04-30,2140.0,2140.0,2140.0,2140.0,50.0
2021-05-03,2150.0,2150.0,2150.0,2150.0,86.0
2021-05-04,2185.0,2300.0,2185.0,2300.0,1625.0
2021-05-05,2400.0,2400.0,2310.0,2310.0,48.0
2021-05-11,2480.0,2480.0,2480.0,2480.0,50.0
2021-05-12,2480.0,2480.0,2480.0,2480.0,50.0
2021-05-14,2665.0,2665.0,2665.0,2665.0,5.0
2021-05-17,2860.0,2860.0,2845.0,2845.0,103.0
2021-05-19,2845.0,2845.0,2845.0,2845.0,223.0
2021-05-20,2840.0,2840.0,2840.0,2840.0,8.0
2021-05-21,2800.0,2800.0,2800.0,2800.0,25.0
2021-05-24,2800.0,2800.0,2800.0,2800.0,25.0
2021-05-25,2800.0,2840.0,2800.0,2840.0,168.0
2021-05-26,2790.0,2790.0,2630.0,2630.0,148.0
2021-05-27,2790.0,2790.0,2630.0,2630.0,95.0
2021-05-28,2700.0,2700.0,2700.0,2700.0,6.0
2021-06-01,2700.0,2750.0,2700.0,2750.0,130.0
2021-06-02,2750.0,2800.0,2750.0,2800.0,435.0
2021-06-03,2795.0,2795.0,2795.0,2795.0,280.0
2021-06-07,2800.0,2800.0,2795.0,2795.0,224.0
2021-06-08,2795.0,2795.0,2795.0,2795.0,46.0
2021-06-09,2785.0,2795.0,2785.0,2795.0,40.0
2021-06-11,2795.0,2795.0,2795.0,2795.0,1103.0
2021-06-14,2795.0,2795.0,2795.0,2795.0,60.0
2021-06-15,2795.0,2795.0,2795.0,2795.0,320.0
2021-06-16,2795.0,2795.0,2795.0,2795.0,30.0
2021-06-18,2795.0,2795.0,2795.0,2795.0,500.0
2021-06-21,2795.0,2795.0,2795.0,2795.0,430.0
2021-06-23,2795.0,2795.0,2790.0,2790.0,37.0
2021-06-29,2790.0,2790.0,2790.0,2790.0,10.0
2021-06-30,2700.0,2700.0,2585.0,2585.0,16.0
2021-07-01,2500.0,2500.0,2500.0,2500.0,545.0
2021-07-05,2510.0,2510.0,2510.0,2510.0,10.0
2021-07-08,2695.0,2695.0,2695.0,2695.0,73.0
2021-07-09,2700.0,2700.0,2700.0,2700.0,100.0
2021-07-12,2695.0,2695.0,2695.0,2695.0,20.0
2021-07-13,2695.0,2695.0,2695.0,2695.0,20.0
2021-07-14,2700.0,2700.0,2700.0,2700.0,60.0
2021-07-15,2650.0,2650.0,2500.0,2500.0,520.0
2021-07-16,2600.0,2600.0,2530.0,2530.0,310.0
2021-07-19,2600.0,2600.0,2600.0,2600.0,23.0
2021-07-20,2600.0,2600.0,2600.0,2600.0,23.0
2021-07-21,2600.0,2600.0,2600.0,2600.0,342.0
2021-07-22,2795.0,2795.0,2600.0,2600.0,38.0
2021-07-26,2795.0,2795.0,2795.0,2795.0,2.0
2021-07-27,2800.0,2800.0,2615.0,2615.0,78.0
2021-07-28,2795.0,2795.0,2795.0,2795.0,20.0
2021-07-29,2795.0,2860.0,2795.0,2860.0,565.0
2021-07-30,2860.0,2860.0,2860.0,2860.0,112.0
2021-08-02,2860.0,2950.0,2860.0,2950.0,16.0
2021-08-03,2900.0,2900.0,2900.0,2900.0,105.0
2021-08-04,2900.0,2950.0,2900.0,2950.0,53.0
2021-08-05,2900.0,2900.0,2900.0,2900.0,275.0
2021-08-06,2900.0,2900.0,2900.0,2900.0,5.0
2021-08-09,2900.0,2900.0,2900.0,2900.0,110.0
2021-08-10,2900.0,2900.0,2820.0,2820.0,83.0
2021-08-11,2820.0,2820.0,2820.0,2820.0,52.0
2021-08-12,2820.0,3000.0,2820.0,3000.0,2794.0
2021-08-13,3000.0,3000.0,2950.0,2950.0,51.0
2021-08-17,3000.0,3000.0,2975.0,2975.0,1283.0
2021-08-18,2975.0,2975.0,2975.0,2975.0,251.0
2021-08-19,2975.0,3000.0,2975.0,3000.0,174.0
2021-08-20,3000.0,3000.0,3000.0,3000.0,28.0
2021-08-23,3000.0,3000.0,3000.0,3000.0,21.0
2021-08-24,3000.0,3000.0,2995.0,2995.0,2937.0
2021-08-25,2995.0,2995.0,2950.0,2950.0,678.0
2021-08-26,2900.0,2900.0,2900.0,2900.0,1404.0
2021-08-27,2950.0,2950.0,2950.0,2950.0,323.0
2021-08-30,2995.0,2995.0,2995.0,2995.0,86.0
2021-08-31,2995.0,2995.0,2700.0,2700.0,368.0
2021-09-02,2900.0,2900.0,2900.0,2900.0,254.0
2021-09-03,2900.0,2900.0,2900.0,2900.0,535.0
2021-09-06,2980.0,2980.0,2900.0,2900.0,88.0
2021-09-07,2950.0,3000.0,2950.0,3000.0,3513.0
2021-09-08,3045.0,3045.0,3000.0,3000.0,4234.0
2021-09-09,3000.0,3115.0,3000.0,3115.0,248.0
2021-09-10,2955.0,3110.0,2955.0,3110.0,79.0
2021-09-13,3110.0,3110.0,3110.0,3110.0,929.0
2021-09-14,3115.0,3115.0,3115.0,3115.0,355.0
2021-09-15,3115.0,3115.0,3115.0,3115.0,70.0
2021-09-16,3000.0,3115.0,3000.0,3115.0,1608.0
2021-09-17,3115.0,3115.0,3115.0,3115.0,401.0
2021-09-20,3105.0,3105.0,3005.0,3005.0,1246.0
2021-09-21,3110.0,3110.0,3110.0,3110.0,31.0
2021-09-22,3110.0,3110.0,3110.0,3110.0,54.0
2021-09-23,3100.0,3110.0,3100.0,3110.0,1591.0
2021-09-24,3110.0,3110.0,3110.0,3110.0,78.0
2021-09-27,3105.0,3110.0,3105.0,3110.0,76.0
2021-09-28,3110.0,3110.0,3110.0,3110.0,142.0
2021-09-29,3105.0,3110.0,3105.0,3110.0,123.0
2021-09-30,3110.0,3110.0,3110.0,3110.0,310.0
2021-10-01,3110.0,3110.0,3110.0,3110.0,30.0
2021-10-04,3025.0,3265.0,3025.0,3265.0,621.0
2021-10-05,3265.0,3265.0,3265.0,3265.0,339.0
2021-10-06,3255.0,3255.0,3025.0,3025.0,1110.0
2021-10-07,3100.0,3180.0,3100.0,3180.0,1696.0
2021-10-08,3150.0,3150.0,3150.0,3150.0,20.0
2021-10-11,3150.0,3150.0,3150.0,3150.0,20.0
2021-10-12,3100.0,3125.0,3100.0,3125.0,746.0
2021-10-13,2900.0,3120.0,2900.0,3120.0,21.0
2021-10-14,3000.0,3120.0,3000.0,3120.0,87.0
2021-10-15,3110.0,3115.0,3110.0,3115.0,71.0
2021-10-18,3110.0,3115.0,3110.0,3115.0,71.0
2021-10-19,3110.0,3115.0,3110.0,3115.0,1539.0
2021-10-20,2905.0,3120.0,2905.0,3120.0,1570.0
2021-10-21,3115.0,3120.0,3115.0,3120.0,1863.0
2021-10-22,3120.0,3275.0,3120.0,3275.0,38.0
2021-10-25,3275.0,3275.0,3275.0,3275.0,3.0
2021-10-27,3275.0,3275.0,3265.0,3265.0,272.0
2021-10-28,3500.0,3500.0,3200.0,3200.0,422.0
2021-10-29,3200.0,3265.0,3200.0,3265.0,1471.0
2021-11-01,3200.0,3265.0,3200.0,3265.0,1471.0
2021-11-02,3265.0,3265.0,3265.0,3265.0,2837.0
2021-11-03,3265.0,3265.0,3265.0,3265.0,449.0
2021-11-04,3265.0,3265.0,3265.0,3265.0,827.0
