date,open,high,low,close,volume
2021-04-09,185.0,185.0,185.0,185.0,50.0
2021-04-12,185.0,185.0,185.0,185.0,4.0
2021-04-13,185.0,185.0,185.0,185.0,400.0
2021-04-16,185.0,185.0,185.0,185.0,100.0
2021-04-21,175.0,175.0,175.0,175.0,1210.0
2021-04-22,175.0,175.0,175.0,175.0,4790.0
2021-04-23,175.0,175.0,175.0,175.0,287.0
2021-04-27,175.0,175.0,175.0,175.0,657.0
2021-04-28,185.0,185.0,185.0,185.0,5.0
2021-04-29,195.0,195.0,195.0,195.0,52.0
2021-04-30,205.0,205.0,205.0,205.0,5.0
2021-05-03,205.0,205.0,205.0,205.0,800.0
2021-05-04,220.0,220.0,220.0,220.0,12.0
2021-05-05,235.0,235.0,235.0,235.0,55.0
2021-05-06,250.0,250.0,250.0,250.0,104.0
2021-05-07,265.0,265.0,265.0,265.0,940.0
2021-05-10,280.0,280.0,280.0,280.0,1010.0
2021-05-14,280.0,280.0,280.0,280.0,17.0
2021-05-19,275.0,275.0,275.0,275.0,504.0
2021-05-20,275.0,275.0,275.0,275.0,303.0
2021-05-21,275.0,275.0,275.0,275.0,1.0
2021-05-24,275.0,275.0,275.0,275.0,1.0
2021-05-25,270.0,270.0,270.0,270.0,30.0
2021-05-26,270.0,270.0,270.0,270.0,100.0
2021-05-27,265.0,265.0,265.0,265.0,10.0
2021-05-28,250.0,250.0,250.0,250.0,250.0
2021-05-31,250.0,250.0,250.0,250.0,2810.0
2021-06-01,265.0,265.0,265.0,265.0,1.0
2021-06-02,280.0,280.0,280.0,280.0,110.0
2021-06-03,280.0,280.0,280.0,280.0,40.0
2021-06-04,280.0,280.0,280.0,280.0,4.0
2021-06-07,265.0,265.0,265.0,265.0,500.0
2021-06-08,250.0,250.0,250.0,250.0,2977.0
2021-06-09,265.0,265.0,265.0,265.0,192.0
2021-06-10,280.0,280.0,280.0,280.0,486.0
2021-06-11,300.0,300.0,300.0,300.0,5701.0
2021-06-14,320.0,320.0,320.0,320.0,1005.0
2021-06-15,340.0,340.0,340.0,340.0,479.0
2021-06-16,365.0,365.0,365.0,365.0,166.0
2021-06-17,380.0,380.0,380.0,380.0,1665.0
