date,open,high,low,close,volume
2021-04-07,200.0,200.0,200.0,200.0,340.0
2021-04-13,215.0,215.0,215.0,215.0,14.0
2021-04-15,215.0,215.0,215.0,215.0,50.0
2021-04-16,200.0,200.0,200.0,200.0,441.0
2021-04-19,200.0,200.0,200.0,200.0,200.0
2021-04-22,200.0,200.0,200.0,200.0,1479.0
2021-04-26,215.0,215.0,215.0,215.0,1.0
2021-04-27,220.0,230.0,220.0,230.0,134.0
2021-04-28,245.0,245.0,245.0,245.0,100.0
2021-04-29,260.0,260.0,260.0,260.0,4000.0
2021-04-30,275.0,275.0,275.0,275.0,25.0
2021-05-03,295.0,295.0,295.0,295.0,1522.0
2021-05-04,315.0,315.0,315.0,315.0,600.0
2021-05-05,335.0,335.0,335.0,335.0,2601.0
2021-05-06,360.0,360.0,360.0,360.0,4140.0
2021-05-07,385.0,385.0,385.0,385.0,7162.0
2021-05-10,410.0,410.0,410.0,410.0,5030.0
2021-05-11,410.0,410.0,380.0,380.0,6842.0
2021-05-12,410.0,410.0,380.0,380.0,6842.0
2021-05-14,400.0,400.0,380.0,380.0,6790.0
2021-05-17,405.0,405.0,405.0,405.0,56907.0
2021-05-18,405.0,405.0,400.0,400.0,10522.0
2021-05-19,400.0,400.0,395.0,395.0,5775.0
2021-05-20,395.0,395.0,395.0,395.0,462.0
2021-05-21,395.0,395.0,395.0,395.0,10.0
2021-05-24,395.0,395.0,395.0,395.0,10.0
2021-05-25,390.0,390.0,380.0,380.0,238.0
2021-05-26,370.0,380.0,370.0,380.0,3686.0
2021-05-27,375.0,395.0,375.0,395.0,4350.0
2021-05-28,395.0,400.0,395.0,400.0,4206.0
2021-05-31,430.0,430.0,430.0,430.0,25200.0
2021-06-01,460.0,460.0,420.0,420.0,5850.0
2021-06-02,415.0,420.0,415.0,420.0,1594.0
2021-06-03,420.0,420.0,420.0,420.0,422.0
2021-06-04,420.0,450.0,420.0,450.0,2008.0
2021-06-07,420.0,450.0,420.0,450.0,231.0
2021-06-08,445.0,445.0,425.0,425.0,220.0
2021-06-09,425.0,430.0,425.0,430.0,1031.0
2021-06-10,430.0,430.0,400.0,400.0,707.0
2021-06-11,395.0,400.0,395.0,400.0,1833.0
2021-06-14,430.0,430.0,430.0,430.0,704.0
2021-06-15,430.0,430.0,430.0,430.0,4180.0
2021-06-16,415.0,430.0,415.0,430.0,18.0
2021-06-17,430.0,430.0,430.0,430.0,1411.0
2021-06-18,430.0,430.0,430.0,430.0,1003.0
2021-06-21,430.0,450.0,430.0,450.0,3291.0
2021-06-22,430.0,445.0,430.0,445.0,1338.0
2021-06-23,440.0,445.0,440.0,445.0,811.0
2021-06-24,445.0,445.0,440.0,440.0,1711.0
2021-06-25,440.0,445.0,440.0,445.0,335.0
2021-06-28,445.0,445.0,440.0,440.0,431.0
2021-06-29,440.0,440.0,440.0,440.0,821.0
2021-06-30,430.0,435.0,430.0,435.0,1099.0
2021-07-01,435.0,440.0,435.0,440.0,301.0
2021-07-02,440.0,440.0,440.0,440.0,1549.0
2021-07-05,440.0,440.0,415.0,415.0,2350.0
2021-07-06,415.0,415.0,400.0,400.0,675.0
2021-07-07,430.0,430.0,430.0,430.0,1311.0
2021-07-08,430.0,430.0,430.0,430.0,20.0
2021-07-09,430.0,430.0,430.0,430.0,98.0
2021-07-12,430.0,445.0,430.0,445.0,42543.0
2021-07-13,450.0,475.0,450.0,475.0,3392.0
2021-07-14,510.0,510.0,510.0,510.0,502.0
2021-07-15,540.0,545.0,540.0,545.0,1105.0
2021-07-16,575.0,575.0,570.0,570.0,1527.0
2021-07-19,550.0,570.0,550.0,570.0,774.0
2021-07-20,550.0,570.0,550.0,570.0,774.0
2021-07-21,570.0,570.0,570.0,570.0,772.0
2021-07-22,570.0,570.0,570.0,570.0,55.0
2021-07-23,570.0,585.0,570.0,585.0,18790.0
2021-07-26,625.0,625.0,590.0,590.0,64508.0
2021-07-27,630.0,630.0,555.0,555.0,23567.0
2021-07-28,595.0,595.0,520.0,520.0,12422.0
2021-07-29,520.0,520.0,485.0,485.0,23314.0
2021-07-30,500.0,500.0,485.0,485.0,40108.0
2021-08-02,485.0,485.0,485.0,485.0,10775.0
2021-08-03,520.0,520.0,520.0,520.0,428.0
2021-08-04,520.0,520.0,520.0,520.0,3622.0
2021-08-05,490.0,490.0,485.0,485.0,16742.0
2021-08-06,520.0,520.0,520.0,520.0,32.0
2021-08-09,555.0,555.0,555.0,555.0,325.0
