date,open,high,low,close,volume
2021-04-07,595.0,595.0,595.0,595.0,578.0
2021-04-08,595.0,595.0,590.0,590.0,2378.0
2021-04-09,590.0,590.0,590.0,590.0,512.0
2021-04-12,590.0,590.0,580.0,580.0,1344.0
2021-04-13,585.0,585.0,585.0,585.0,2724.0
2021-04-14,590.0,590.0,590.0,590.0,2515.0
2021-04-15,585.0,585.0,585.0,585.0,1311.0
2021-04-16,600.0,600.0,580.0,580.0,14161.0
2021-04-19,585.0,585.0,580.0,580.0,946.0
2021-04-20,580.0,580.0,580.0,580.0,957.0
2021-04-21,580.0,580.0,580.0,580.0,1896.0
2021-04-22,580.0,585.0,580.0,585.0,2977.0
2021-04-23,585.0,585.0,585.0,585.0,4996.0
2021-04-26,585.0,590.0,585.0,590.0,1357.0
2021-04-27,590.0,590.0,590.0,590.0,2755.0
2021-04-28,590.0,590.0,590.0,590.0,2257.0
2021-04-29,590.0,590.0,580.0,580.0,1387.0
2021-04-30,580.0,590.0,580.0,590.0,592.0
2021-05-03,590.0,590.0,585.0,585.0,1700.0
2021-05-04,580.0,580.0,580.0,580.0,8708.0
2021-05-05,570.0,570.0,560.0,560.0,6620.0
2021-05-06,520.0,560.0,520.0,560.0,4444.0
2021-05-07,570.0,580.0,570.0,580.0,5654.0
2021-05-10,580.0,580.0,580.0,580.0,5336.0
2021-05-11,590.0,590.0,585.0,585.0,11157.0
2021-05-12,590.0,590.0,585.0,585.0,11157.0
2021-05-14,590.0,590.0,585.0,585.0,3330.0
2021-05-17,585.0,585.0,585.0,585.0,10865.0
2021-05-18,585.0,590.0,585.0,590.0,8360.0
2021-05-19,590.0,590.0,590.0,590.0,2420.0
2021-05-20,590.0,590.0,590.0,590.0,2923.0
2021-05-21,590.0,590.0,585.0,585.0,11669.0
2021-05-24,590.0,590.0,585.0,585.0,11669.0
2021-05-25,585.0,590.0,585.0,590.0,9598.0
2021-05-26,590.0,600.0,590.0,600.0,9780.0
2021-05-27,590.0,605.0,590.0,605.0,900.0
2021-05-28,600.0,610.0,600.0,610.0,251.0
2021-05-31,605.0,605.0,600.0,600.0,4498.0
2021-06-01,600.0,600.0,600.0,600.0,2680.0
2021-06-02,600.0,600.0,595.0,595.0,3161.0
2021-06-03,595.0,595.0,595.0,595.0,1811.0
2021-06-04,595.0,600.0,595.0,600.0,12530.0
2021-06-07,595.0,610.0,595.0,610.0,3627.0
2021-06-08,600.0,605.0,600.0,605.0,27352.0
2021-06-09,630.0,630.0,630.0,630.0,13578.0
2021-06-10,625.0,625.0,625.0,625.0,7093.0
2021-06-11,625.0,625.0,620.0,620.0,8884.0
2021-06-14,625.0,625.0,620.0,620.0,2208.0
2021-06-15,625.0,625.0,625.0,625.0,2886.0
2021-06-16,625.0,630.0,625.0,630.0,2238.0
2021-06-17,630.0,630.0,630.0,630.0,2975.0
2021-06-18,625.0,630.0,625.0,630.0,738.0
2021-06-21,650.0,650.0,645.0,645.0,2200.0
2021-06-22,645.0,645.0,645.0,645.0,545.0
2021-06-23,645.0,645.0,645.0,645.0,239.0
2021-06-24,645.0,645.0,645.0,645.0,2987.0
2021-06-25,630.0,690.0,630.0,690.0,2179.0
2021-06-28,690.0,740.0,690.0,740.0,3182.0
2021-06-29,795.0,795.0,795.0,795.0,8723.0
2021-06-30,800.0,800.0,780.0,780.0,2232.0
2021-07-01,765.0,765.0,725.0,725.0,389.0
2021-07-02,725.0,725.0,720.0,720.0,583.0
2021-07-05,720.0,720.0,700.0,700.0,5018.0
2021-07-06,700.0,700.0,700.0,700.0,965.0
2021-07-07,710.0,710.0,710.0,710.0,1810.0
2021-07-08,715.0,740.0,715.0,740.0,1165.0
2021-07-09,715.0,715.0,715.0,715.0,1093.0
2021-07-12,710.0,720.0,710.0,720.0,15.0
2021-07-13,720.0,740.0,720.0,740.0,575.0
2021-07-14,700.0,730.0,700.0,730.0,1611.0
2021-07-15,730.0,730.0,730.0,730.0,1103.0
2021-07-16,730.0,730.0,725.0,725.0,392.0
2021-07-19,730.0,750.0,730.0,750.0,6135.0
2021-07-20,730.0,750.0,730.0,750.0,6135.0
2021-07-21,770.0,770.0,750.0,750.0,2301.0
2021-07-22,750.0,750.0,710.0,710.0,1676.0
2021-07-23,710.0,710.0,700.0,700.0,1131.0
2021-07-26,710.0,710.0,700.0,700.0,2036.0
2021-07-27,705.0,705.0,700.0,700.0,1828.0
2021-07-28,750.0,750.0,745.0,745.0,1441.0
2021-07-29,745.0,745.0,710.0,710.0,1006.0
2021-07-30,745.0,745.0,710.0,710.0,245.0
2021-08-02,750.0,750.0,710.0,710.0,1038.0
2021-08-03,745.0,745.0,715.0,715.0,208.0
2021-08-04,715.0,745.0,715.0,745.0,5130.0
2021-08-05,745.0,745.0,715.0,715.0,1325.0
2021-08-06,740.0,740.0,740.0,740.0,60.0
2021-08-09,715.0,715.0,715.0,715.0,2546.0
2021-08-10,715.0,720.0,715.0,720.0,280.0
2021-08-11,720.0,720.0,710.0,710.0,368.0
2021-08-12,710.0,710.0,710.0,710.0,4877.0
2021-08-13,715.0,730.0,715.0,730.0,3042.0
2021-08-16,730.0,745.0,730.0,745.0,648.0
2021-08-17,745.0,745.0,725.0,725.0,2884.0
2021-08-18,725.0,725.0,725.0,725.0,725.0
2021-08-19,725.0,725.0,715.0,715.0,781.0
2021-08-20,745.0,745.0,715.0,715.0,3352.0
2021-08-23,745.0,745.0,720.0,720.0,1004.0
2021-08-24,730.0,735.0,730.0,735.0,404.0
2021-08-25,735.0,750.0,735.0,750.0,2367.0
2021-08-26,750.0,765.0,750.0,765.0,3227.0
2021-08-27,765.0,765.0,765.0,765.0,2281.0
2021-08-30,765.0,775.0,765.0,775.0,3128.0
2021-08-31,775.0,775.0,775.0,775.0,1893.0
2021-09-01,775.0,780.0,775.0,780.0,3320.0
2021-09-02,790.0,805.0,790.0,805.0,770.0
2021-09-03,830.0,830.0,805.0,805.0,466.0
2021-09-06,805.0,835.0,805.0,835.0,687.0
2021-09-07,835.0,835.0,835.0,835.0,2431.0
2021-09-08,835.0,835.0,835.0,835.0,2566.0
2021-09-09,835.0,870.0,835.0,870.0,20170.0
2021-09-10,870.0,870.0,870.0,870.0,1289.0
2021-09-13,870.0,870.0,870.0,870.0,420.0
2021-09-14,840.0,865.0,840.0,865.0,21584.0
2021-09-15,870.0,870.0,870.0,870.0,4557.0
2021-09-16,870.0,870.0,840.0,840.0,509.0
2021-09-17,850.0,850.0,850.0,850.0,5330.0
2021-09-20,845.0,855.0,845.0,855.0,920.0
2021-09-21,870.0,870.0,870.0,870.0,6903.0
2021-09-22,875.0,875.0,875.0,875.0,4245.0
2021-09-23,850.0,895.0,850.0,895.0,18620.0
2021-09-24,895.0,895.0,895.0,895.0,889.0
2021-09-27,895.0,910.0,895.0,910.0,4606.0
2021-09-28,920.0,930.0,920.0,930.0,1706.0
2021-09-29,920.0,920.0,920.0,920.0,3254.0
2021-09-30,905.0,905.0,890.0,890.0,2327.0
2021-10-01,890.0,890.0,875.0,875.0,4304.0
2021-10-04,895.0,895.0,880.0,880.0,1454.0
2021-10-05,880.0,880.0,875.0,875.0,8727.0
2021-10-06,845.0,845.0,835.0,835.0,2253.0
2021-10-07,845.0,845.0,845.0,845.0,791.0
2021-10-08,845.0,845.0,845.0,845.0,1564.0
2021-10-11,850.0,875.0,850.0,875.0,1337.0
2021-10-12,850.0,900.0,850.0,900.0,6288.0
2021-10-13,930.0,930.0,920.0,920.0,9604.0
2021-10-14,915.0,950.0,915.0,950.0,4122.0
2021-10-15,950.0,950.0,915.0,915.0,3496.0
2021-10-18,950.0,950.0,915.0,915.0,3496.0
2021-10-19,915.0,950.0,915.0,950.0,4134.0
2021-10-20,915.0,1010.0,915.0,1010.0,9047.0
2021-10-21,1060.0,1060.0,1060.0,1060.0,3719.0
2021-10-22,1060.0,1060.0,1060.0,1060.0,1154.0
2021-10-25,1055.0,1055.0,1050.0,1050.0,1977.0
2021-10-26,1000.0,1000.0,1000.0,1000.0,8988.0
2021-10-27,1000.0,1035.0,1000.0,1035.0,1002.0
2021-10-28,1000.0,1035.0,1000.0,1035.0,7561.0
2021-10-29,1040.0,1040.0,1035.0,1035.0,8732.0
2021-11-01,1040.0,1040.0,1035.0,1035.0,8732.0
2021-11-02,960.0,960.0,960.0,960.0,411.0
2021-11-03,900.0,900.0,890.0,890.0,1559.0
2021-11-04,840.0,840.0,840.0,840.0,6903.0
2021-11-05,825.0,825.0,825.0,825.0,6248.0
2021-11-08,835.0,835.0,800.0,800.0,4338.0
2021-11-09,800.0,800.0,790.0,790.0,2519.0
2021-11-10,790.0,800.0,790.0,800.0,1889.0
2021-11-11,800.0,840.0,800.0,840.0,1421.0
2021-11-12,840.0,840.0,840.0,840.0,4837.0
2021-11-15,840.0,840.0,840.0,840.0,4837.0
2021-11-16,840.0,900.0,840.0,900.0,1346.0
2021-11-17,835.0,900.0,835.0,900.0,2570.0
2021-11-18,900.0,900.0,895.0,895.0,1151.0
2021-11-19,850.0,890.0,850.0,890.0,5119.0
