date,open,high,low,close,volume
2021-04-14,1140.0,1140.0,1140.0,1140.0,221.0
2021-04-16,1140.0,1140.0,1140.0,1140.0,10.0
2021-04-27,1140.0,1140.0,1140.0,1140.0,40.0
2021-04-28,1140.0,1140.0,1140.0,1140.0,5.0
2021-04-29,1140.0,1140.0,1140.0,1140.0,5.0
2021-05-20,1145.0,1145.0,1140.0,1140.0,1437.0
2021-05-26,1200.0,1200.0,1200.0,1200.0,100.0
2021-05-27,1290.0,1290.0,1290.0,1290.0,715.0
2021-06-04,1385.0,1385.0,1385.0,1385.0,77.0
2021-06-07,1450.0,1485.0,1450.0,1485.0,281.0
2021-06-08,1595.0,1595.0,1595.0,1595.0,69.0
2021-06-16,1600.0,1600.0,1600.0,1600.0,10.0
2021-06-17,1720.0,1720.0,1720.0,1720.0,150.0
2021-06-21,1720.0,1720.0,1720.0,1720.0,60.0
2021-06-25,1720.0,1720.0,1720.0,1720.0,241.0
2021-07-01,1845.0,1845.0,1845.0,1845.0,5.0
2021-07-02,1980.0,1980.0,1950.0,1950.0,284.0
2021-07-07,2095.0,2095.0,2095.0,2095.0,6.0
2021-07-08,2250.0,2250.0,2250.0,2250.0,1.0
2021-07-09,2415.0,2415.0,2415.0,2415.0,1.0
2021-07-12,2595.0,2595.0,2595.0,2595.0,1.0
2021-07-13,2785.0,2785.0,2785.0,2785.0,1.0
2021-07-14,2990.0,2990.0,2990.0,2990.0,96.0
2021-07-15,3210.0,3210.0,3210.0,3210.0,298.0
2021-07-19,3450.0,3450.0,3450.0,3450.0,205.0
2021-07-20,3450.0,3450.0,3450.0,3450.0,205.0
2021-07-21,3455.0,3455.0,3450.0,3450.0,25.0
2021-07-22,3705.0,3705.0,3705.0,3705.0,30.0
2021-07-23,3710.0,3710.0,3710.0,3710.0,22.0
2021-07-27,3710.0,3710.0,3450.0,3450.0,22.0
2021-07-28,3455.0,3455.0,3450.0,3450.0,274.0
2021-07-29,3455.0,3705.0,3455.0,3705.0,85.0
