date,open,high,low,close,volume
2021-04-07,210.0,210.0,210.0,210.0,281.0
2021-04-08,215.0,215.0,210.0,210.0,7.0
2021-04-09,210.0,210.0,210.0,210.0,15.0
2021-04-12,210.0,210.0,210.0,210.0,719.0
2021-04-13,210.0,210.0,210.0,210.0,52.0
2021-04-14,210.0,210.0,210.0,210.0,18.0
2021-04-15,210.0,210.0,205.0,205.0,202.0
2021-04-16,205.0,205.0,200.0,200.0,7655.0
2021-04-19,200.0,200.0,200.0,200.0,10.0
2021-04-20,200.0,200.0,200.0,200.0,100.0
2021-04-22,200.0,200.0,200.0,200.0,1383.0
2021-04-23,200.0,200.0,200.0,200.0,250.0
2021-04-26,200.0,215.0,200.0,215.0,1785.0
2021-04-27,210.0,220.0,210.0,220.0,407.0
2021-04-28,210.0,220.0,210.0,220.0,1228.0
2021-04-29,220.0,220.0,220.0,220.0,1100.0
2021-04-30,220.0,220.0,215.0,215.0,104.0
2021-05-03,215.0,215.0,215.0,215.0,637.0
2021-05-04,220.0,220.0,220.0,220.0,3.0
2021-05-05,220.0,220.0,220.0,220.0,135.0
2021-05-07,235.0,235.0,220.0,220.0,251.0
2021-05-10,235.0,235.0,235.0,235.0,104.0
2021-05-11,250.0,250.0,250.0,250.0,149.0
2021-05-12,250.0,250.0,250.0,250.0,149.0
2021-05-14,265.0,265.0,265.0,265.0,5.0
2021-05-17,265.0,280.0,265.0,280.0,66.0
2021-05-18,260.0,300.0,260.0,300.0,885.0
2021-05-19,300.0,320.0,300.0,320.0,3184.0
2021-05-20,340.0,340.0,340.0,340.0,360.0
2021-05-21,345.0,365.0,345.0,365.0,83.0
2021-05-24,345.0,365.0,345.0,365.0,83.0
2021-05-25,365.0,390.0,365.0,390.0,1183.0
2021-05-26,390.0,390.0,390.0,390.0,860.0
2021-05-27,390.0,410.0,390.0,410.0,1655.0
2021-05-28,435.0,435.0,435.0,435.0,440.0
2021-05-31,440.0,440.0,435.0,435.0,516.0
2021-06-01,435.0,435.0,435.0,435.0,114.0
2021-06-02,435.0,435.0,425.0,425.0,287.0
2021-06-03,395.0,395.0,395.0,395.0,749.0
2021-06-04,390.0,390.0,370.0,370.0,4109.0
2021-06-07,365.0,365.0,345.0,345.0,1115.0
2021-06-08,320.0,320.0,320.0,320.0,696.0
2021-06-09,320.0,325.0,320.0,325.0,1617.0
2021-06-10,325.0,335.0,325.0,335.0,152.0
2021-06-11,335.0,345.0,335.0,345.0,1383.0
2021-06-14,360.0,370.0,360.0,370.0,1201.0
2021-06-15,370.0,370.0,370.0,370.0,821.0
2021-06-16,370.0,370.0,370.0,370.0,717.0
2021-06-18,350.0,395.0,350.0,395.0,9032.0
2021-06-21,420.0,420.0,420.0,420.0,252.0
2021-06-22,435.0,450.0,435.0,450.0,1312.0
2021-06-23,480.0,480.0,480.0,480.0,10420.0
2021-06-24,480.0,480.0,480.0,480.0,371.0
2021-06-25,480.0,480.0,470.0,470.0,240.0
2021-06-28,450.0,450.0,435.0,435.0,251.0
2021-06-29,435.0,435.0,410.0,410.0,422.0
2021-06-30,380.0,410.0,380.0,410.0,520.0
2021-07-01,390.0,420.0,390.0,420.0,3455.0
2021-07-02,435.0,450.0,435.0,450.0,903.0
2021-07-05,450.0,450.0,435.0,435.0,498.0
2021-07-06,435.0,435.0,435.0,435.0,50.0
2021-07-07,450.0,450.0,435.0,435.0,123.0
2021-07-08,440.0,440.0,435.0,435.0,78.0
2021-07-09,450.0,450.0,425.0,425.0,202.0
2021-07-12,425.0,455.0,425.0,455.0,997.0
2021-07-13,470.0,470.0,470.0,470.0,155.0
2021-07-14,455.0,470.0,455.0,470.0,21.0
2021-07-15,470.0,470.0,470.0,470.0,1070.0
2021-07-16,470.0,470.0,470.0,470.0,328.0
2021-07-19,465.0,465.0,465.0,465.0,137.0
2021-07-20,465.0,465.0,465.0,465.0,137.0
2021-07-21,465.0,465.0,465.0,465.0,379.0
2021-07-22,465.0,465.0,465.0,465.0,758.0
2021-07-23,465.0,465.0,465.0,465.0,137.0
2021-07-26,465.0,465.0,465.0,465.0,152.0
2021-07-27,465.0,470.0,465.0,470.0,1044.0
2021-07-28,470.0,470.0,465.0,465.0,4149.0
2021-07-29,470.0,470.0,465.0,465.0,136.0
2021-07-30,465.0,465.0,450.0,450.0,1587.0
2021-08-02,450.0,465.0,450.0,465.0,413.0
2021-08-03,450.0,450.0,445.0,445.0,49.0
2021-08-04,425.0,445.0,425.0,445.0,1355.0
2021-08-05,465.0,465.0,465.0,465.0,356.0
2021-08-09,465.0,465.0,465.0,465.0,285.0
2021-08-10,460.0,460.0,450.0,450.0,115.0
2021-08-11,455.0,455.0,450.0,450.0,596.0
2021-08-12,435.0,455.0,435.0,455.0,72.0
2021-08-13,455.0,460.0,455.0,460.0,240.0
2021-08-16,460.0,460.0,450.0,450.0,150.0
2021-08-17,460.0,460.0,450.0,450.0,97.0
2021-08-18,455.0,455.0,455.0,455.0,95.0
2021-08-19,455.0,455.0,450.0,450.0,530.0
2021-08-20,460.0,460.0,455.0,455.0,513.0
2021-08-23,460.0,460.0,455.0,455.0,508.0
2021-08-24,455.0,455.0,455.0,455.0,771.0
2021-08-25,455.0,455.0,455.0,455.0,452.0
2021-08-26,465.0,465.0,465.0,465.0,315.0
2021-08-27,465.0,465.0,460.0,460.0,1046.0
2021-08-30,460.0,465.0,460.0,465.0,4.0
2021-08-31,460.0,460.0,460.0,460.0,170.0
2021-09-01,465.0,465.0,460.0,460.0,30.0
2021-09-03,460.0,460.0,460.0,460.0,1384.0
2021-09-06,455.0,455.0,455.0,455.0,558.0
2021-09-07,455.0,455.0,455.0,455.0,1191.0
2021-09-08,455.0,455.0,450.0,450.0,351.0
2021-09-09,455.0,455.0,455.0,455.0,100.0
2021-09-10,450.0,455.0,450.0,455.0,686.0
2021-09-13,455.0,455.0,455.0,455.0,260.0
2021-09-14,455.0,455.0,455.0,455.0,50.0
2021-09-15,455.0,455.0,455.0,455.0,35.0
2021-09-16,455.0,455.0,455.0,455.0,78.0
2021-09-20,460.0,460.0,460.0,460.0,5868.0
2021-09-21,460.0,460.0,460.0,460.0,646.0
2021-09-22,465.0,465.0,460.0,460.0,747.0
2021-09-23,470.0,490.0,470.0,490.0,3135.0
2021-09-24,500.0,500.0,500.0,500.0,5148.0
2021-09-27,535.0,535.0,535.0,535.0,51.0
2021-09-28,575.0,575.0,545.0,545.0,6889.0
2021-09-29,570.0,585.0,570.0,585.0,268.0
2021-09-30,585.0,625.0,585.0,625.0,1263.0
2021-10-01,625.0,670.0,625.0,670.0,345.0
2021-10-04,670.0,670.0,665.0,665.0,1011.0
2021-10-05,665.0,665.0,660.0,660.0,492.0
2021-10-06,660.0,660.0,650.0,650.0,219.0
2021-10-07,650.0,650.0,615.0,615.0,785.0
2021-10-08,600.0,615.0,600.0,615.0,1185.0
2021-10-11,610.0,610.0,610.0,610.0,1300.0
2021-10-12,610.0,610.0,600.0,600.0,1258.0
2021-10-13,600.0,645.0,600.0,645.0,2602.0
2021-10-14,645.0,645.0,645.0,645.0,12.0
2021-10-15,645.0,645.0,635.0,635.0,176.0
2021-10-18,645.0,645.0,635.0,635.0,176.0
2021-10-19,615.0,635.0,615.0,635.0,644.0
2021-10-20,615.0,615.0,615.0,615.0,110.0
2021-10-21,615.0,635.0,615.0,635.0,867.0
2021-10-22,640.0,640.0,610.0,610.0,214.0
2021-10-25,600.0,600.0,600.0,600.0,250.0
2021-10-26,600.0,630.0,600.0,630.0,522.0
2021-10-27,615.0,615.0,615.0,615.0,50.0
2021-10-28,600.0,620.0,600.0,620.0,64.0
2021-10-29,620.0,620.0,615.0,615.0,296.0
2021-11-01,620.0,620.0,615.0,615.0,296.0
