date,open,high,low,close,volume
2021-04-07,2050.0,2050.0,2050.0,2050.0,25.0
2021-04-08,2000.0,2000.0,1950.0,1950.0,210.0
2021-04-09,1910.0,1950.0,1910.0,1950.0,105.0
2021-04-12,2000.0,2000.0,2000.0,2000.0,1901.0
2021-04-13,2000.0,2000.0,2000.0,2000.0,1164.0
2021-04-14,2000.0,2150.0,2000.0,2150.0,1796.0
2021-04-15,2090.0,2245.0,2090.0,2245.0,141.0
2021-04-16,2245.0,2300.0,2245.0,2300.0,253.0
2021-04-19,2300.0,2300.0,2300.0,2300.0,1.0
2021-04-20,2295.0,2300.0,2295.0,2300.0,520.0
2021-04-21,2300.0,2300.0,2150.0,2150.0,339.0
2021-04-22,2310.0,2310.0,2310.0,2310.0,2.0
2021-04-23,2400.0,2400.0,2400.0,2400.0,352.0
2021-04-26,2580.0,2580.0,2580.0,2580.0,2167.0
2021-04-27,2580.0,2630.0,2580.0,2630.0,769.0
2021-04-28,2575.0,2575.0,2570.0,2570.0,729.0
2021-04-29,2400.0,2545.0,2400.0,2545.0,2308.0
2021-05-03,2600.0,2600.0,2600.0,2600.0,760.0
2021-05-04,2530.0,2530.0,2510.0,2510.0,230.0
2021-05-05,2510.0,2510.0,2375.0,2375.0,3655.0
2021-05-06,2200.0,2200.0,2200.0,2200.0,170.0
2021-05-07,2200.0,2200.0,2200.0,2200.0,1701.0
2021-05-10,2160.0,2200.0,2160.0,2200.0,310.0
2021-05-11,2300.0,2300.0,2300.0,2300.0,40.0
2021-05-12,2300.0,2300.0,2300.0,2300.0,40.0
2021-05-14,2300.0,2300.0,2300.0,2300.0,70.0
2021-05-17,2300.0,2305.0,2300.0,2305.0,55.0
2021-05-18,2305.0,2400.0,2305.0,2400.0,362.0
2021-05-19,2300.0,2300.0,2300.0,2300.0,1080.0
2021-05-20,2305.0,2310.0,2305.0,2310.0,267.0
2021-05-21,2400.0,2400.0,2400.0,2400.0,50.0
2021-05-24,2400.0,2400.0,2400.0,2400.0,50.0
2021-05-25,2400.0,2500.0,2400.0,2500.0,432.0
2021-05-27,2500.0,2500.0,2500.0,2500.0,687.0
2021-05-28,2500.0,2500.0,2500.0,2500.0,337.0
2021-05-31,2500.0,2550.0,2500.0,2550.0,204.0
2021-06-01,2600.0,2600.0,2600.0,2600.0,16.0
2021-06-02,2600.0,2680.0,2600.0,2680.0,327.0
2021-06-03,2690.0,2730.0,2690.0,2730.0,714.0
2021-06-04,2680.0,2700.0,2680.0,2700.0,3794.0
2021-06-07,2700.0,2700.0,2695.0,2695.0,867.0
2021-06-08,2685.0,2685.0,2610.0,2610.0,156.0
2021-06-09,2650.0,2650.0,2600.0,2600.0,404.0
2021-06-10,2700.0,2700.0,2700.0,2700.0,490.0
2021-06-14,2650.0,2730.0,2650.0,2730.0,31.0
2021-06-15,2725.0,2725.0,2725.0,2725.0,417.0
2021-06-16,2700.0,2725.0,2700.0,2725.0,410.0
2021-06-17,2725.0,2725.0,2725.0,2725.0,450.0
2021-06-18,2700.0,2700.0,2700.0,2700.0,10.0
2021-06-21,2725.0,2725.0,2700.0,2700.0,111.0
2021-06-25,2700.0,2700.0,2700.0,2700.0,5.0
2021-06-29,2650.0,2700.0,2650.0,2700.0,297.0
2021-06-30,2630.0,2630.0,2630.0,2630.0,800.0
2021-07-01,2640.0,2700.0,2640.0,2700.0,350.0
2021-07-02,2700.0,2700.0,2700.0,2700.0,150.0
2021-07-06,2700.0,2700.0,2700.0,2700.0,10.0
2021-07-07,2610.0,2610.0,2610.0,2610.0,60.0
2021-07-08,2610.0,2730.0,2610.0,2730.0,69.0
2021-07-09,2610.0,2610.0,2610.0,2610.0,5.0
2021-07-12,2750.0,2750.0,2750.0,2750.0,153.0
2021-07-13,2750.0,2925.0,2750.0,2925.0,551.0
2021-07-14,2750.0,2760.0,2750.0,2760.0,41.0
2021-07-15,2920.0,2920.0,2920.0,2920.0,560.0
2021-07-16,2980.0,3100.0,2980.0,3100.0,401.0
2021-07-19,3110.0,3135.0,3110.0,3135.0,404.0
2021-07-20,3110.0,3135.0,3110.0,3135.0,404.0
2021-07-21,3135.0,3135.0,3000.0,3000.0,1162.0
2021-07-22,3000.0,3000.0,3000.0,3000.0,5.0
2021-07-23,3200.0,3200.0,3200.0,3200.0,114.0
2021-07-26,3200.0,3200.0,3200.0,3200.0,18.0
2021-07-27,3250.0,3250.0,3250.0,3250.0,148.0
2021-07-28,3300.0,3305.0,3300.0,3305.0,82.0
2021-07-29,3305.0,3400.0,3305.0,3400.0,862.0
2021-07-30,3500.0,3500.0,3500.0,3500.0,943.0
2021-08-02,3445.0,3500.0,3445.0,3500.0,164.0
2021-08-03,3505.0,3700.0,3505.0,3700.0,151.0
2021-08-04,3650.0,3650.0,3650.0,3650.0,4.0
2021-08-05,3650.0,3650.0,3650.0,3650.0,4.0
2021-08-06,3650.0,3650.0,3650.0,3650.0,16.0
2021-08-09,3650.0,3650.0,3650.0,3650.0,99.0
2021-08-10,3645.0,3645.0,3645.0,3645.0,87.0
2021-08-11,3640.0,3645.0,3640.0,3645.0,501.0
2021-08-12,3645.0,3645.0,3645.0,3645.0,200.0
2021-08-13,3520.0,3680.0,3520.0,3680.0,280.0
2021-08-16,3675.0,3675.0,3515.0,3515.0,310.0
2021-08-17,3680.0,3680.0,3680.0,3680.0,166.0
2021-08-18,3600.0,3700.0,3600.0,3700.0,68.0
2021-08-19,3695.0,3695.0,3695.0,3695.0,164.0
2021-08-23,3650.0,3650.0,3650.0,3650.0,10.0
2021-08-24,3650.0,3750.0,3650.0,3750.0,2814.0
2021-08-25,3750.0,3750.0,3750.0,3750.0,1628.0
2021-08-26,3795.0,3795.0,3795.0,3795.0,21.0
2021-08-27,3800.0,3800.0,3800.0,3800.0,50.0
2021-08-30,3795.0,3795.0,3795.0,3795.0,91.0
2021-08-31,3795.0,3795.0,3700.0,3700.0,220.0
2021-09-01,3700.0,3850.0,3700.0,3850.0,552.0
2021-09-02,3850.0,3850.0,3850.0,3850.0,45.0
2021-09-03,3900.0,3950.0,3900.0,3950.0,2934.0
2021-09-06,3950.0,4095.0,3950.0,4095.0,1285.0
2021-09-07,4095.0,4135.0,4095.0,4135.0,41.0
2021-09-08,4135.0,4135.0,4130.0,4130.0,110.0
2021-09-09,4135.0,4135.0,4100.0,4100.0,135.0
2021-09-10,4100.0,4390.0,4100.0,4390.0,79750.0
2021-09-13,4440.0,4440.0,4250.0,4250.0,92.0
2021-09-14,4250.0,4250.0,4130.0,4130.0,535.0
2021-09-15,4130.0,4195.0,4130.0,4195.0,20150.0
2021-09-16,4100.0,4180.0,4100.0,4180.0,121.0
2021-09-17,4160.0,4250.0,4160.0,4250.0,928.0
2021-09-20,4250.0,4250.0,4160.0,4160.0,55085.0
2021-09-21,4155.0,4200.0,4155.0,4200.0,85.0
2021-09-22,4200.0,4200.0,4170.0,4170.0,922.0
2021-09-23,4105.0,4250.0,4105.0,4250.0,2037.0
2021-09-24,4250.0,4450.0,4250.0,4450.0,1055.0
2021-09-27,4450.0,4450.0,4450.0,4450.0,105.0
2021-09-28,4450.0,4450.0,4450.0,4450.0,562.0
2021-09-29,4300.0,4500.0,4300.0,4500.0,1589.0
2021-09-30,4500.0,4835.0,4500.0,4835.0,2684.0
2021-10-01,5195.0,5195.0,5195.0,5195.0,201.0
2021-10-04,5580.0,5580.0,5580.0,5580.0,1278.0
2021-10-05,5995.0,5995.0,5600.0,5600.0,908.0
2021-10-06,5500.0,5580.0,5500.0,5580.0,6136.0
2021-10-07,5250.0,5250.0,5200.0,5200.0,901.0
2021-10-08,5205.0,5205.0,5195.0,5195.0,3420.0
2021-10-11,5500.0,5500.0,5395.0,5395.0,209.0
2021-10-12,5390.0,5390.0,5390.0,5390.0,12.0
2021-10-13,5200.0,5290.0,5200.0,5290.0,610.0
2021-10-14,5200.0,5500.0,5200.0,5500.0,1778.0
2021-10-15,5380.0,5380.0,5380.0,5380.0,540.0
2021-10-18,5380.0,5380.0,5380.0,5380.0,540.0
2021-10-19,5380.0,5400.0,5380.0,5400.0,1680.0
2021-10-20,5390.0,5400.0,5390.0,5400.0,184.0
2021-10-21,5390.0,5390.0,5390.0,5390.0,2481.0
2021-10-22,5200.0,5390.0,5200.0,5390.0,954.0
2021-10-25,5385.0,5390.0,5385.0,5390.0,456.0
2021-10-26,5390.0,5390.0,5390.0,5390.0,372.0
2021-10-27,5385.0,5385.0,5385.0,5385.0,67.0
2021-10-28,5300.0,5300.0,5300.0,5300.0,915.0
2021-10-29,5300.0,5300.0,5270.0,5270.0,164.0
2021-11-01,5300.0,5300.0,5270.0,5270.0,164.0
2021-11-02,5000.0,5300.0,5000.0,5300.0,1270.0
2021-11-03,5400.0,5485.0,5400.0,5485.0,4720.0
2021-11-04,5270.0,5395.0,5270.0,5395.0,1705.0
2021-11-05,5395.0,5395.0,5300.0,5300.0,955.0
2021-11-08,5300.0,5550.0,5300.0,5550.0,1712.0
2021-11-09,5275.0,5275.0,5275.0,5275.0,120.0
2021-11-10,5275.0,5350.0,5275.0,5350.0,1924.0
2021-11-11,5300.0,5300.0,5205.0,5205.0,162.0
2021-11-12,5205.0,5205.0,5200.0,5200.0,402.0
2021-11-15,5205.0,5205.0,5200.0,5200.0,402.0
2021-11-16,5100.0,5195.0,5100.0,5195.0,192.0
2021-11-17,5195.0,5195.0,5195.0,5195.0,262.0
2021-11-18,5090.0,5295.0,5090.0,5295.0,413.0
2021-11-19,5095.0,5300.0,5095.0,5300.0,1291.0
2021-11-22,5300.0,5300.0,5300.0,5300.0,339.0
2021-11-23,5300.0,5300.0,5300.0,5300.0,328.0
2021-11-24,5250.0,5300.0,5250.0,5300.0,652.0
2021-11-25,5200.0,5200.0,5005.0,5005.0,1540.0
2021-11-26,5010.0,5250.0,5010.0,5250.0,63762.0
2021-11-29,5250.0,5295.0,5250.0,5295.0,8653.0
2021-11-30,5250.0,5250.0,5250.0,5250.0,4921.0
2021-12-01,5200.0,5225.0,5200.0,5225.0,14.0
2021-12-02,5100.0,5370.0,5100.0,5370.0,5105.0
2021-12-03,5170.0,5170.0,5170.0,5170.0,961.0
2021-12-06,5150.0,5150.0,5100.0,5100.0,1215.0
2021-12-07,5100.0,5100.0,5100.0,5100.0,1900.0
2021-12-08,5200.0,5200.0,5100.0,5100.0,687.0
2021-12-09,5100.0,5100.0,5100.0,5100.0,1161.0
2021-12-10,5100.0,5100.0,5100.0,5100.0,606.0
2021-12-13,5100.0,5100.0,5000.0,5000.0,200.0
2021-12-14,5100.0,5100.0,5100.0,5100.0,1459.0
2021-12-15,5000.0,5290.0,5000.0,5290.0,2234.0
2021-12-16,5005.0,5200.0,5005.0,5200.0,5077.0
2021-12-17,5100.0,5100.0,5100.0,5100.0,350.0
2021-12-20,5100.0,5100.0,5000.0,5000.0,2115.0
2021-12-21,4900.0,4900.0,4900.0,4900.0,145.0
2021-12-22,4905.0,5100.0,4905.0,5100.0,5030.0
2021-12-23,5100.0,5200.0,5100.0,5200.0,1987.0
2021-12-24,5195.0,5195.0,5195.0,5195.0,5.0
2021-12-27,4865.0,5195.0,4865.0,5195.0,204.0
2021-12-28,4880.0,5185.0,4880.0,5185.0,402.0
2021-12-30,5100.0,5100.0,5100.0,5100.0,1.0
2021-12-31,5000.0,5195.0,5000.0,5195.0,2044.0
2022-01-04,4875.0,5100.0,4875.0,5100.0,75.0
2022-01-05,5100.0,5175.0,5100.0,5175.0,117.0
2022-01-07,5000.0,5090.0,5000.0,5090.0,104.0
2022-01-10,5000.0,5080.0,5000.0,5080.0,635.0
2022-01-11,5080.0,5100.0,5080.0,5100.0,127.0
2022-01-12,5005.0,5025.0,5005.0,5025.0,746.0
2022-01-13,5000.0,5100.0,5000.0,5100.0,912.0
2022-01-14,4950.0,5100.0,4950.0,5100.0,90.0
2022-01-17,5100.0,5100.0,5100.0,5100.0,3.0
2022-01-18,4970.0,5095.0,4970.0,5095.0,1488.0
2022-01-19,4975.0,5100.0,4975.0,5100.0,108.0
2022-01-20,5005.0,5100.0,5005.0,5100.0,266.0
