date,open,high,low,close,volume
2021-04-08,300.0,300.0,285.0,285.0,71.0
2021-04-09,300.0,300.0,300.0,300.0,580.0
2021-04-14,320.0,320.0,320.0,320.0,1.0
2021-04-15,320.0,320.0,300.0,300.0,519.0
2021-04-16,300.0,300.0,300.0,300.0,34844.0
2021-04-19,300.0,300.0,300.0,300.0,571.0
2021-04-20,295.0,295.0,295.0,295.0,1.0
2021-04-21,280.0,280.0,280.0,280.0,4.0
2021-04-22,300.0,300.0,300.0,300.0,1402.0
2021-04-23,295.0,295.0,280.0,280.0,2.0
2021-04-26,300.0,300.0,300.0,300.0,5337.0
2021-04-27,300.0,320.0,300.0,320.0,13833.0
2021-04-28,340.0,340.0,340.0,340.0,23.0
2021-04-29,365.0,365.0,365.0,365.0,6.0
2021-04-30,390.0,390.0,390.0,390.0,11.0
2021-05-03,415.0,415.0,415.0,415.0,301.0
2021-05-04,445.0,445.0,445.0,445.0,342.0
2021-05-05,475.0,475.0,475.0,475.0,7487.0
2021-05-06,510.0,510.0,510.0,510.0,1567.0
2021-05-07,545.0,545.0,545.0,545.0,3866.0
2021-05-10,545.0,545.0,540.0,540.0,48549.0
2021-05-11,580.0,580.0,540.0,540.0,781.0
2021-05-12,580.0,580.0,540.0,540.0,781.0
2021-05-14,540.0,575.0,540.0,575.0,296.0
2021-05-17,545.0,545.0,540.0,540.0,690.0
2021-05-18,570.0,570.0,550.0,550.0,1125.0
2021-05-19,550.0,550.0,550.0,550.0,4795.0
2021-05-20,565.0,565.0,565.0,565.0,1981.0
2021-05-21,565.0,565.0,565.0,565.0,695.0
2021-05-24,565.0,565.0,565.0,565.0,695.0
2021-05-25,545.0,545.0,540.0,540.0,1933.0
2021-05-26,540.0,540.0,540.0,540.0,1565.0
2021-05-27,540.0,540.0,540.0,540.0,360.0
2021-05-28,540.0,540.0,540.0,540.0,131.0
2021-05-31,530.0,535.0,530.0,535.0,1008.0
2021-06-01,530.0,540.0,530.0,540.0,345.0
2021-06-02,540.0,545.0,540.0,545.0,318.0
2021-06-03,565.0,570.0,565.0,570.0,2755.0
2021-06-04,570.0,570.0,545.0,545.0,1912.0
2021-06-07,550.0,585.0,550.0,585.0,353.0
2021-06-08,600.0,625.0,600.0,625.0,559.0
2021-06-09,620.0,625.0,620.0,625.0,1605.0
2021-06-10,650.0,670.0,650.0,670.0,2052.0
2021-06-11,670.0,720.0,670.0,720.0,361.0
2021-06-14,750.0,770.0,750.0,770.0,531.0
2021-06-15,765.0,765.0,715.0,715.0,1302.0
2021-06-16,765.0,765.0,765.0,765.0,984.0
2021-06-17,765.0,765.0,765.0,765.0,1440.0
2021-06-18,770.0,770.0,715.0,715.0,1598.0
2021-06-21,750.0,750.0,740.0,740.0,69.0
2021-06-22,735.0,740.0,735.0,740.0,1225.0
2021-06-23,740.0,740.0,740.0,740.0,647.0
2021-06-24,735.0,735.0,735.0,735.0,1764.0
2021-06-25,715.0,715.0,700.0,700.0,485.0
2021-06-28,700.0,700.0,695.0,695.0,170.0
2021-06-29,695.0,695.0,650.0,650.0,430.0
2021-06-30,695.0,695.0,680.0,680.0,289.0
2021-07-01,680.0,680.0,645.0,645.0,1477.0
2021-07-02,680.0,680.0,670.0,670.0,155.0
2021-07-05,665.0,665.0,645.0,645.0,188.0
2021-07-06,655.0,660.0,655.0,660.0,289.0
2021-07-07,660.0,660.0,660.0,660.0,200.0
2021-07-08,660.0,665.0,660.0,665.0,176.0
2021-07-09,660.0,710.0,660.0,710.0,296.0
2021-07-12,710.0,710.0,710.0,710.0,1254.0
2021-07-13,710.0,710.0,710.0,710.0,50.0
2021-07-14,680.0,680.0,680.0,680.0,456.0
2021-07-15,670.0,675.0,670.0,675.0,431.0
2021-07-16,665.0,670.0,665.0,670.0,416.0
2021-07-19,710.0,710.0,700.0,700.0,51.0
2021-07-20,710.0,710.0,700.0,700.0,51.0
2021-07-21,700.0,700.0,700.0,700.0,833.0
2021-07-22,700.0,700.0,700.0,700.0,651.0
2021-07-23,700.0,700.0,700.0,700.0,869.0
2021-07-26,700.0,700.0,700.0,700.0,279.0
2021-07-27,690.0,690.0,690.0,690.0,987.0
2021-07-28,685.0,685.0,685.0,685.0,516.0
2021-07-29,695.0,695.0,690.0,690.0,380.0
2021-07-30,685.0,685.0,675.0,675.0,703.0
2021-08-02,690.0,690.0,690.0,690.0,76.0
2021-08-04,690.0,720.0,690.0,720.0,217.0
2021-08-05,720.0,720.0,715.0,715.0,171.0
2021-08-06,720.0,720.0,700.0,700.0,1196.0
2021-08-09,690.0,695.0,690.0,695.0,1487.0
2021-08-10,690.0,695.0,690.0,695.0,88.0
2021-08-11,695.0,695.0,695.0,695.0,158.0
2021-08-12,695.0,695.0,695.0,695.0,47.0
2021-08-13,695.0,695.0,695.0,695.0,2.0
2021-08-16,695.0,695.0,675.0,675.0,297.0
2021-08-17,675.0,675.0,660.0,660.0,1710.0
2021-08-18,655.0,655.0,615.0,615.0,3923.0
2021-08-19,615.0,650.0,615.0,650.0,1441.0
2021-08-20,650.0,650.0,650.0,650.0,82.0
2021-08-23,650.0,650.0,650.0,650.0,1135.0
2021-08-24,650.0,650.0,650.0,650.0,1443.0
2021-08-25,650.0,650.0,650.0,650.0,5.0
2021-08-26,655.0,655.0,650.0,650.0,158.0
2021-08-27,650.0,650.0,650.0,650.0,538.0
2021-08-30,650.0,650.0,645.0,645.0,2221.0
2021-08-31,620.0,620.0,620.0,620.0,2000.0
2021-09-01,620.0,620.0,620.0,620.0,1364.0
2021-09-02,625.0,645.0,625.0,645.0,167.0
2021-09-03,655.0,655.0,655.0,655.0,366.0
2021-09-06,655.0,655.0,655.0,655.0,1068.0
2021-09-07,695.0,695.0,655.0,655.0,1295.0
2021-09-08,655.0,655.0,650.0,650.0,1610.0
2021-09-10,655.0,655.0,650.0,650.0,943.0
2021-09-13,695.0,695.0,650.0,650.0,3672.0
2021-09-14,695.0,695.0,695.0,695.0,251.0
2021-09-15,695.0,695.0,695.0,695.0,1925.0
2021-09-16,700.0,700.0,695.0,695.0,705.0
2021-09-17,695.0,695.0,695.0,695.0,707.0
2021-09-20,700.0,700.0,695.0,695.0,151.0
2021-09-21,700.0,700.0,690.0,690.0,5079.0
2021-09-22,690.0,690.0,670.0,670.0,354.0
2021-09-23,650.0,650.0,650.0,650.0,2613.0
2021-09-24,650.0,650.0,650.0,650.0,5637.0
2021-09-27,655.0,680.0,655.0,680.0,108.0
2021-09-28,680.0,680.0,665.0,665.0,232.0
2021-09-29,665.0,665.0,665.0,665.0,672.0
2021-09-30,665.0,665.0,660.0,660.0,175.0
2021-10-01,660.0,665.0,660.0,665.0,110.0
2021-10-04,665.0,680.0,665.0,680.0,877.0
2021-10-05,670.0,675.0,670.0,675.0,6631.0
2021-10-06,675.0,675.0,675.0,675.0,20.0
2021-10-08,650.0,675.0,650.0,675.0,40.0
2021-10-11,650.0,650.0,650.0,650.0,1642.0
2021-10-12,660.0,660.0,660.0,660.0,578.0
2021-10-13,655.0,655.0,650.0,650.0,269.0
2021-10-14,650.0,665.0,650.0,665.0,303.0
2021-10-15,660.0,670.0,660.0,670.0,325.0
2021-10-18,660.0,670.0,660.0,670.0,325.0
2021-10-19,660.0,720.0,660.0,720.0,203.0
2021-10-20,745.0,745.0,745.0,745.0,713.0
2021-10-21,740.0,740.0,740.0,740.0,95.0
2021-10-22,740.0,740.0,720.0,720.0,438.0
2021-10-25,720.0,720.0,715.0,715.0,1048.0
2021-10-26,715.0,715.0,715.0,715.0,2188.0
2021-10-27,700.0,700.0,700.0,700.0,84.0
2021-10-28,715.0,715.0,715.0,715.0,166.0
2021-10-29,715.0,715.0,715.0,715.0,265.0
2021-11-01,715.0,715.0,715.0,715.0,265.0
2021-11-02,715.0,715.0,715.0,715.0,335.0
2021-11-03,715.0,715.0,715.0,715.0,49.0
2021-11-04,715.0,720.0,715.0,720.0,1588.0
2021-11-05,720.0,745.0,720.0,745.0,240.0
2021-11-09,730.0,745.0,730.0,745.0,231.0
