date,open,high,low,close,volume
2021-04-12,750.0,750.0,705.0,705.0,740.0
2021-04-13,750.0,750.0,750.0,750.0,110.0
2021-04-14,750.0,750.0,750.0,750.0,600.0
2021-04-15,750.0,750.0,750.0,750.0,200.0
2021-04-16,800.0,800.0,800.0,800.0,40.0
2021-04-20,850.0,850.0,850.0,850.0,464.0
2021-04-22,910.0,910.0,910.0,910.0,1.0
2021-04-23,975.0,975.0,975.0,975.0,48.0
2021-04-26,975.0,975.0,975.0,975.0,30.0
2021-04-29,1045.0,1045.0,1045.0,1045.0,3703.0
2021-04-30,1120.0,1120.0,1120.0,1120.0,1100.0
2021-05-04,1200.0,1200.0,1200.0,1200.0,201.0
2021-05-05,1290.0,1290.0,1290.0,1290.0,1.0
2021-05-06,1385.0,1385.0,1385.0,1385.0,1.0
2021-05-07,1485.0,1485.0,1485.0,1485.0,10025.0
2021-05-10,1595.0,1595.0,1595.0,1595.0,267.0
2021-05-11,1610.0,1710.0,1610.0,1710.0,101.0
2021-05-12,1610.0,1710.0,1610.0,1710.0,101.0
2021-05-14,1835.0,1835.0,1835.0,1835.0,1.0
2021-05-17,1970.0,1970.0,1970.0,1970.0,35.0
2021-05-18,2115.0,2115.0,2115.0,2115.0,1400.0
2021-05-19,2270.0,2270.0,2270.0,2270.0,18043.0
2021-05-20,2440.0,2440.0,2440.0,2440.0,2734.0
2021-05-21,2620.0,2620.0,2620.0,2620.0,4655.0
2021-05-24,2620.0,2620.0,2620.0,2620.0,4655.0
2021-05-25,2815.0,2815.0,2815.0,2815.0,3792.0
2021-05-26,3025.0,3025.0,3025.0,3025.0,3446.0
2021-05-27,3250.0,3250.0,3250.0,3250.0,4118.0
2021-05-28,3255.0,3475.0,3255.0,3475.0,3129.0
2021-05-31,3300.0,3460.0,3300.0,3460.0,929.0
2021-06-01,3450.0,3450.0,3440.0,3440.0,281.0
2021-06-02,3400.0,3450.0,3400.0,3450.0,1274.0
2021-06-03,3440.0,3440.0,3405.0,3405.0,852.0
2021-06-04,3410.0,3410.0,3200.0,3200.0,7600.0
2021-06-07,3200.0,3400.0,3200.0,3400.0,7509.0
2021-06-08,3210.0,3350.0,3210.0,3350.0,12715.0
2021-06-09,3250.0,3250.0,3200.0,3200.0,1667.0
2021-06-10,3210.0,3210.0,3200.0,3200.0,2870.0
2021-06-11,3250.0,3340.0,3250.0,3340.0,1541.0
2021-06-14,3200.0,3210.0,3200.0,3210.0,520.0
2021-06-15,3215.0,3300.0,3215.0,3300.0,12970.0
2021-06-16,3300.0,3340.0,3300.0,3340.0,5118.0
2021-06-17,3350.0,3350.0,3350.0,3350.0,2635.0
2021-06-18,3400.0,3420.0,3400.0,3420.0,2569.0
2021-06-21,3405.0,3600.0,3405.0,3600.0,18078.0
2021-06-22,3700.0,3700.0,3600.0,3600.0,1708.0
2021-06-23,3600.0,3690.0,3600.0,3690.0,173.0
2021-06-24,3690.0,3700.0,3690.0,3700.0,2120.0
2021-06-25,3680.0,3680.0,3625.0,3625.0,349.0
2021-06-28,3630.0,3630.0,3600.0,3600.0,2414.0
2021-06-29,3615.0,3615.0,3500.0,3500.0,83143.0
2021-06-30,3290.0,3290.0,3250.0,3250.0,771.0
2021-07-01,3250.0,3250.0,3245.0,3245.0,2810.0
2021-07-02,3250.0,3250.0,3245.0,3245.0,130.0
2021-07-05,3030.0,3170.0,3030.0,3170.0,950.0
2021-07-06,3010.0,3250.0,3010.0,3250.0,8459.0
2021-07-07,3200.0,3300.0,3200.0,3300.0,3319.0
2021-07-08,3280.0,3400.0,3280.0,3400.0,6836.0
2021-07-09,3400.0,3400.0,3400.0,3400.0,106.0
2021-07-12,3350.0,3400.0,3350.0,3400.0,200.0
2021-07-13,3385.0,3385.0,3385.0,3385.0,5.0
2021-07-14,3300.0,3390.0,3300.0,3390.0,2610.0
2021-07-15,3375.0,3375.0,3375.0,3375.0,161.0
2021-07-16,3360.0,3360.0,3360.0,3360.0,150.0
2021-07-19,3350.0,3350.0,3350.0,3350.0,1.0
2021-07-20,3350.0,3350.0,3350.0,3350.0,1.0
2021-07-21,3370.0,3370.0,3370.0,3370.0,4361.0
2021-07-22,3370.0,3500.0,3370.0,3500.0,11633.0
2021-07-23,3490.0,3490.0,3490.0,3490.0,5.0
2021-07-26,3470.0,3750.0,3470.0,3750.0,12042.0
2021-07-27,3750.0,3750.0,3735.0,3735.0,426.0
2021-07-28,3610.0,3610.0,3610.0,3610.0,450.0
2021-07-29,3610.0,3610.0,3610.0,3610.0,232.0
2021-07-30,3610.0,3610.0,3500.0,3500.0,5900.0
2021-08-02,3500.0,3600.0,3500.0,3600.0,600.0
2021-08-03,3510.0,3510.0,3510.0,3510.0,235.0
2021-08-04,3595.0,3595.0,3595.0,3595.0,38.0
2021-08-05,3595.0,3725.0,3595.0,3725.0,333.0
2021-08-06,3735.0,3735.0,3735.0,3735.0,186.0
2021-08-09,3735.0,3735.0,3735.0,3735.0,13.0
