date,open,high,low,close,volume
2021-04-19,4085.0,4085.0,4085.0,4085.0,5.0
2021-04-23,4085.0,4085.0,4085.0,4085.0,15.0
2021-05-03,4390.0,4390.0,4390.0,4390.0,10.0
2021-05-14,4390.0,4390.0,4390.0,4390.0,10.0
2021-05-18,4400.0,4400.0,4400.0,4400.0,9.0
2021-06-23,4550.0,4550.0,4550.0,4550.0,25.0
2021-06-30,4550.0,4550.0,4550.0,4550.0,70.0
2021-07-08,4550.0,4550.0,4550.0,4550.0,3.0
2021-08-04,4550.0,4550.0,4550.0,4550.0,16.0
2021-08-05,4550.0,4550.0,4550.0,4550.0,2.0
2021-08-17,4550.0,4550.0,4550.0,4550.0,15.0
2021-08-18,4550.0,4550.0,4550.0,4550.0,17.0
2021-08-19,4550.0,4550.0,4550.0,4550.0,10.0
2021-08-20,4550.0,4550.0,4550.0,4550.0,12.0
2021-08-25,4550.0,4550.0,4400.0,4400.0,30.0
2021-09-02,4400.0,4400.0,4400.0,4400.0,10.0
2021-09-13,4550.0,4550.0,4550.0,4550.0,2.0
2021-09-16,4550.0,4550.0,4550.0,4550.0,9.0
2021-10-20,4850.0,4850.0,4850.0,4850.0,2.0
2021-10-21,4900.0,4900.0,4900.0,4900.0,10.0
2021-10-22,4850.0,4850.0,4550.0,4550.0,17.0
2021-10-28,4550.0,4550.0,4550.0,4550.0,9.0
2021-11-19,4550.0,4550.0,4550.0,4550.0,12.0
2021-12-03,4550.0,4550.0,4550.0,4550.0,5.0
2021-12-16,4550.0,4550.0,4550.0,4550.0,3.0
2021-12-23,4550.0,4550.0,4550.0,4550.0,1.0
2021-12-28,4560.0,4560.0,4560.0,4560.0,7.0
2021-12-30,4890.0,4890.0,4890.0,4890.0,12.0
2021-12-31,4890.0,4890.0,4890.0,4890.0,23.0
2022-01-07,4890.0,4890.0,4890.0,4890.0,3.0
2022-01-10,4890.0,4890.0,4890.0,4890.0,2.0
2022-01-14,4890.0,4890.0,4800.0,4800.0,10.0
2022-01-21,4850.0,4850.0,4850.0,4850.0,45.0
2022-02-14,4850.0,4850.0,4850.0,4850.0,7.0
2022-02-15,4850.0,4850.0,4850.0,4850.0,14.0
2022-07-13,5010.0,5010.0,5010.0,5010.0,10.0
2022-07-14,5010.0,5010.0,5010.0,5010.0,10.0
2022-07-15,5385.0,5385.0,5385.0,5385.0,1.0
2022-07-18,5385.0,5385.0,5385.0,5385.0,1.0
2022-07-20,5700.0,5700.0,5700.0,5700.0,10.0
2022-07-21,5700.0,5700.0,5700.0,5700.0,10.0
2022-07-22,5780.0,5780.0,5780.0,5780.0,5.0
2022-07-25,5780.0,5780.0,5780.0,5780.0,5.0
2022-08-04,5800.0,5800.0,5800.0,5800.0,300.0
2022-08-05,5805.0,5805.0,5800.0,5800.0,31.0
2022-08-08,5805.0,5805.0,5800.0,5800.0,31.0
2022-08-09,5800.0,5800.0,5800.0,5800.0,127.0
2022-08-10,5800.0,5800.0,5800.0,5800.0,127.0
2022-08-30,6200.0,6200.0,6200.0,6200.0,5.0
2022-08-31,6200.0,6200.0,6200.0,6200.0,42.0
2022-09-01,6235.0,6235.0,6235.0,6235.0,25.0
2022-09-02,6235.0,6235.0,6235.0,6235.0,25.0
2022-09-05,6235.0,6235.0,6235.0,6235.0,11.0
2022-09-06,6235.0,6235.0,6235.0,6235.0,214.0
2022-09-07,6700.0,6700.0,6700.0,6700.0,370.0
2022-09-08,6700.0,6700.0,6700.0,6700.0,370.0
2022-09-09,6700.0,6700.0,6700.0,6700.0,1.0
2022-09-12,6700.0,6700.0,6700.0,6700.0,1.0
2022-09-19,7035.0,7035.0,7000.0,7000.0,59.0
2022-09-20,7000.0,7000.0,7000.0,7000.0,2.0
2022-09-21,7000.0,7000.0,7000.0,7000.0,2.0
2022-09-22,7000.0,7000.0,7000.0,7000.0,12.0
2022-09-23,7000.0,7000.0,7000.0,7000.0,12.0
2022-09-28,7000.0,7035.0,7000.0,7035.0,5.0
2022-09-29,7000.0,7035.0,7000.0,7035.0,5.0
2022-09-30,7035.0,7035.0,7035.0,7035.0,11.0
2022-10-03,7035.0,7035.0,7035.0,7035.0,11.0
