date,open,high,low,close,volume
2021-04-07,970.0,1000.0,970.0,1000.0,1257.0
2021-04-08,1000.0,1000.0,990.0,990.0,3125.0
2021-04-09,990.0,990.0,990.0,990.0,183.0
2021-04-12,965.0,965.0,965.0,965.0,623.0
2021-04-13,990.0,990.0,990.0,990.0,560.0
2021-04-14,990.0,1000.0,990.0,1000.0,597.0
2021-04-15,990.0,990.0,990.0,990.0,474.0
2021-04-16,990.0,990.0,980.0,980.0,312.0
2021-04-19,990.0,990.0,990.0,990.0,325.0
2021-04-20,990.0,1000.0,990.0,1000.0,2923.0
2021-04-21,1000.0,1000.0,990.0,990.0,1127.0
2021-04-22,995.0,1030.0,995.0,1030.0,3350.0
2021-04-23,1030.0,1030.0,1030.0,1030.0,84.0
2021-04-26,1030.0,1030.0,1015.0,1015.0,244.0
2021-04-27,1015.0,1015.0,1015.0,1015.0,2500.0
2021-04-28,1015.0,1015.0,1005.0,1005.0,1282.0
2021-04-29,1015.0,1035.0,1015.0,1035.0,1322.0
2021-04-30,1035.0,1035.0,1035.0,1035.0,4057.0
2021-05-03,1035.0,1040.0,1035.0,1040.0,4341.0
2021-05-04,1095.0,1100.0,1095.0,1100.0,2147.0
2021-05-05,1020.0,1100.0,1020.0,1100.0,8833.0
2021-05-06,1100.0,1100.0,1050.0,1050.0,1626.0
2021-05-07,1040.0,1050.0,1040.0,1050.0,2169.0
2021-05-10,1050.0,1060.0,1050.0,1060.0,5485.0
2021-05-11,1065.0,1065.0,1065.0,1065.0,8220.0
2021-05-12,1065.0,1065.0,1065.0,1065.0,8220.0
2021-05-14,1075.0,1110.0,1075.0,1110.0,282.0
2021-05-17,1130.0,1150.0,1130.0,1150.0,7994.0
2021-05-18,1130.0,1130.0,1130.0,1130.0,1501.0
2021-05-19,1130.0,1150.0,1130.0,1150.0,2273.0
2021-05-20,1195.0,1200.0,1195.0,1200.0,5620.0
2021-05-21,1280.0,1280.0,1180.0,1180.0,3217.0
2021-05-24,1280.0,1280.0,1180.0,1180.0,3217.0
2021-05-25,1180.0,1180.0,1180.0,1180.0,2016.0
2021-05-26,1180.0,1265.0,1180.0,1265.0,2120.0
2021-05-27,1355.0,1355.0,1350.0,1350.0,6166.0
2021-05-28,1350.0,1390.0,1350.0,1390.0,2529.0
2021-05-31,1350.0,1350.0,1345.0,1345.0,2639.0
2021-06-01,1345.0,1345.0,1340.0,1340.0,884.0
2021-06-02,1300.0,1300.0,1300.0,1300.0,8988.0
2021-06-03,1280.0,1280.0,1270.0,1270.0,2614.0
2021-06-04,1250.0,1250.0,1250.0,1250.0,533.0
2021-06-07,1250.0,1250.0,1250.0,1250.0,2701.0
2021-06-08,1215.0,1215.0,1200.0,1200.0,35785.0
2021-06-09,1200.0,1290.0,1200.0,1290.0,3229.0
2021-06-10,1250.0,1345.0,1250.0,1345.0,2719.0
2021-06-11,1330.0,1390.0,1330.0,1390.0,1621.0
2021-06-14,1350.0,1350.0,1350.0,1350.0,765.0
2021-06-15,1350.0,1350.0,1350.0,1350.0,3218.0
2021-06-16,1345.0,1345.0,1345.0,1345.0,2836.0
2021-06-17,1345.0,1345.0,1345.0,1345.0,182.0
2021-06-18,1320.0,1345.0,1320.0,1345.0,1703.0
2021-06-21,1340.0,1360.0,1340.0,1360.0,4070.0
2021-06-22,1350.0,1370.0,1350.0,1370.0,16546.0
2021-06-23,1380.0,1390.0,1380.0,1390.0,1023.0
2021-06-24,1390.0,1390.0,1380.0,1380.0,281.0
2021-06-25,1380.0,1380.0,1380.0,1380.0,2550.0
2021-06-28,1380.0,1390.0,1380.0,1390.0,6922.0
2021-06-29,1395.0,1395.0,1390.0,1390.0,1342.0
2021-06-30,1400.0,1490.0,1400.0,1490.0,3905.0
2021-07-01,1510.0,1600.0,1510.0,1600.0,1815.0
2021-07-02,1575.0,1610.0,1575.0,1610.0,6111.0
2021-07-05,1600.0,1610.0,1600.0,1610.0,3338.0
2021-07-06,1610.0,1610.0,1595.0,1595.0,4695.0
2021-07-07,1500.0,1570.0,1500.0,1570.0,3130.0
2021-07-08,1570.0,1570.0,1505.0,1505.0,1434.0
2021-07-09,1520.0,1520.0,1510.0,1510.0,2734.0
2021-07-12,1500.0,1500.0,1500.0,1500.0,1120.0
2021-07-13,1500.0,1500.0,1500.0,1500.0,528.0
2021-07-14,1550.0,1595.0,1550.0,1595.0,1569.0
2021-07-15,1505.0,1595.0,1505.0,1595.0,1277.0
2021-07-16,1595.0,1595.0,1595.0,1595.0,802.0
2021-07-19,1595.0,1595.0,1590.0,1590.0,187.0
2021-07-20,1595.0,1595.0,1590.0,1590.0,187.0
2021-07-21,1595.0,1595.0,1590.0,1590.0,313.0
2021-07-22,1585.0,1585.0,1580.0,1580.0,3262.0
2021-07-23,1590.0,1590.0,1575.0,1575.0,253.0
2021-07-26,1585.0,1585.0,1510.0,1510.0,3791.0
2021-07-27,1515.0,1580.0,1515.0,1580.0,1129.0
2021-07-28,1580.0,1580.0,1580.0,1580.0,618.0
2021-07-29,1580.0,1595.0,1580.0,1595.0,2370.0
2021-07-30,1600.0,1615.0,1600.0,1615.0,192.0
2021-08-02,1615.0,1615.0,1600.0,1600.0,447.0
2021-08-03,1580.0,1580.0,1580.0,1580.0,2622.0
2021-08-04,1560.0,1590.0,1560.0,1590.0,646.0
2021-08-05,1580.0,1580.0,1575.0,1575.0,1887.0
2021-08-06,1560.0,1560.0,1550.0,1550.0,1856.0
2021-08-09,1550.0,1550.0,1520.0,1520.0,3797.0
