date,ticker,signal,score,confiance,entry_price,stop_loss,take_profit,rr,k_stop,k_target,position_pct,atr_pct,data_quality,exit_price,exit_date,exit_reason,pnl_pct,r_realise
2026-04-21,ECOC,VENTE,-2,faible,15810.0,16033.3,15363.4,2.0,1.0,2.0,25.0,1.41,ok,,,,,
2026-04-21,CABC,ACHAT,3,modérée,3515.0,3276.35,3992.3,2.0,1.5,3.0,12.5,4.53,ok,,,,,
2026-04-21,NEIC,VENTE,-3,faible,1380.0,1392.98,1354.05,2.0,1.0,2.0,25.0,0.94,ok,,,,,
2026-04-21,PALC,ACHAT,2,faible,8060.0,7939.73,8300.54,2.0,1.0,2.0,25.0,1.49,ok,,,,,
2026-04-21,PRSC,ACHAT,2,modérée,4800.0,4648.46,5103.09,2.0,1.5,3.0,25.0,2.1,ok,,,,,
2026-04-21,SAFC,VENTE,-2,modérée,6200.0,6714.78,5170.45,2.0,1.5,3.0,10.2,5.54,ok,,,,,
2026-04-21,SDCC,VENTE,-3,modérée,7485.0,7749.51,6955.98,2.0,1.5,3.0,24.1,2.36,ok,,,,,
2026-04-21,SICC,ACHAT,2,modérée,4300.0,4101.92,4696.17,2.0,1.5,3.0,15.2,3.07,ok,,,,,
2026-04-21,SOGC,ACHAT,3,faible,7680.0,7578.36,7883.28,2.0,1.0,2.0,25.0,1.32,ok,,,,,
2026-04-21,STAC,ACHAT,2,faible,2850.0,2677.85,3194.31,2.0,1.0,2.0,14.1,6.04,ok,,,,,
